TIMESTAMP_START,TIMESTAMP_MID,TIMESTAMP_END,incomingShortwaveRadiation_43m,outgoingShortwaveRadiation_43m,incomingLongwaveRadiation_43m,outgoingLongwaveRadiation_43m,airPressure_43m,airTemperature_2m,airTemperature_43m,relHumidity_2m,relHumidity_43m,VaporPressure_43m,VaporPressureDeficit_43m,Precipitation_43m,belowcanopyPrecipitation_1m,WindVelocity_I_43m,WindVelocity_II_43m,WindDirection_43m,soilTemperature_1_5cm,soilTemperature_2_5cm,soilTemperature_3_5cm,soilTemperature_1_15cm,soilTemperature_2_15cm,soilTemperature_3_15cm,soilTemperature_1_30cm,soilTemperature_2_30cm,soilTemperature_3_30cm,soilMoisture_1_5cm,soilMoisture_2_5cm,soilMoisture_3_5cm,soilMoisture_1_15cm,soilMoisture_2_15cm,soilMoisture_3_15cm,soilMoisture_1_30cm,soilMoisture_2_30cm,soilMoisture_3_30cm
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,ms-1,deg,degC,degC,degC,degC,degC,degC,degC,degC,degC,%,%,%,%,%,%,%,%,%
2024-06-06 08:30:00,2024-06-06 08:45:00,2024-06-06 09:00:00,664.5,109.36666666666667,297.07606403601034,387.71939736934365,961.0,11.706666666666665,13.353333333333333,77.07333333333334,54.56666666666666,8.375267355354856,6.973420528618611,0.0,0.0,1.5183333333333333,1.4303333333333335,162.26988422639977,11.406666666666666,11.933333333333332,11.673333333333332,12.076666666666668,12.196666666666665,12.086666666666666,11.983333333333334,12.033333333333331,12.013333333333334,39.89666666666667,36.89666666666667,38.660000000000004,36.943333333333335,33.39333333333333,34.11,15.203333333333333,40.38666666666666,41.25333333333334
2024-06-06 09:00:00,2024-06-06 09:15:00,2024-06-06 09:30:00,633.5666666666666,100.86666666666667,305.5165360092496,389.9265360092495,961.0,12.540000000000001,13.973333333333334,69.54666666666667,52.62,8.409237238648055,7.571829349432628,0.0,0.0,1.447,1.3816666666666668,181.95146631647145,11.42,11.943333333333333,11.71,12.046666666666667,12.170000000000002,12.060000000000002,11.983333333333334,12.026666666666666,11.993333333333334,39.88666666666666,36.88666666666667,38.67666666666667,36.98333333333333,33.4,34.156666666666666,15.203333333333333,40.56333333333333,41.31
2024-06-06 09:30:00,2024-06-06 09:45:00,2024-06-06 10:00:00,590.0,96.10000000000001,326.0937383729602,390.3647383729602,961.0,12.846666666666666,13.936666666666667,71.56666666666666,55.120000000000005,8.787805195616238,7.155237612105527,0.0,0.0,1.936,1.797,161.25653793666302,11.43,11.966666666666669,11.743333333333334,12.023333333333332,12.15,12.036666666666667,11.956666666666669,12.01,11.983333333333334,39.800000000000004,36.83,38.583333333333336,36.93666666666667,33.38,34.10666666666666,15.186666666666667,40.43,41.29333333333333
2024-06-06 10:00:00,2024-06-06 10:15:00,2024-06-06 10:30:00,548.3000000000001,91.66333333333334,333.73852410613677,391.0385241061367,960.0,13.590000000000002,14.173333333333334,68.52666666666666,56.68333333333334,9.176958314199393,7.012912278331143,0.0,0.0,3.0063333333333335,2.8983333333333334,172.26328126947854,11.473333333333334,12.0,11.793333333333331,12.006666666666666,12.12,12.013333333333334,11.94,12.0,11.966666666666669,39.77,36.79666666666667,38.55,36.93666666666667,33.373333333333335,34.13333333333333,15.18,40.43,41.32666666666667
2024-06-06 10:30:00,2024-06-06 10:45:00,2024-06-06 11:00:00,869.0,143.29999999999998,310.1146309902908,401.2986309902908,960.0,14.339999999999998,15.003333333333336,69.38666666666667,56.830000000000005,9.707791303760747,7.374368301660237,0.0,0.0,2.7483333333333335,2.6596666666666664,160.09979795818214,11.513333333333334,12.033333333333331,11.863333333333332,12.003333333333332,12.116666666666665,12.003333333333332,11.923333333333334,11.986666666666666,11.953333333333333,39.72333333333333,36.77,38.52,36.93333333333333,33.343333333333334,34.12,15.18,40.443333333333335,41.306666666666665
2024-06-06 11:00:00,2024-06-06 11:15:00,2024-06-06 11:30:00,761.1333333333333,123.73333333333335,315.7217350475441,402.70140171421076,960.0,15.246666666666664,15.506666666666666,64.21,55.78333333333333,9.842402888352563,7.801581972751524,0.0,0.0,2.5740000000000003,2.5033333333333334,167.87668665799998,11.553333333333335,12.076666666666668,11.933333333333332,12.01,12.093333333333334,12.006666666666666,11.903333333333334,11.973333333333334,11.933333333333332,39.71,36.75333333333334,38.49,36.94,33.346666666666664,34.123333333333335,15.18,40.49666666666667,41.379999999999995
2024-06-06 11:30:00,2024-06-06 11:45:00,2024-06-06 12:00:00,609.8000000000001,101.27333333333333,345.3386397827623,402.0019731160957,960.0,15.44,15.976666666666667,66.47333333333333,56.126666666666665,10.205588290136397,7.9775479911376195,0.0,0.0,2.8383333333333334,2.6193333333333335,196.87978098075766,11.603333333333332,12.126666666666667,12.016666666666666,12.013333333333334,12.07,11.993333333333334,11.9,11.953333333333333,11.906666666666666,39.666666666666664,36.71,38.44,36.943333333333335,33.32,34.120000000000005,15.18,40.51,41.373333333333335
2024-06-06 12:00:00,2024-06-06 12:15:00,2024-06-06 12:30:00,782.2333333333332,127.36666666666667,327.01062621748997,403.68562621749,960.0,15.866666666666667,15.806666666666667,64.81,57.873333333333335,10.409377353260947,7.577105805236254,0.0,0.0,3.655333333333333,3.268333333333333,212.76530106897815,11.676666666666668,12.203333333333333,12.11,12.033333333333331,12.076666666666666,12.0,11.883333333333335,11.943333333333333,11.910000000000002,39.61666666666667,36.68666666666667,38.413333333333334,36.943333333333335,33.32,34.12,15.18,40.52,41.410000000000004
2024-06-06 12:30:00,2024-06-06 12:45:00,2024-06-06 13:00:00,841.8333333333334,136.79999999999998,328.86981340682763,408.13648007349434,960.0,16.45,16.543333333333333,62.94666666666666,56.11666666666667,10.579282184617327,8.273017520670457,0.0,0.0,3.67,3.3783333333333334,230.15177981538767,11.736666666666666,12.266666666666666,12.213333333333333,12.049999999999999,12.07,12.003333333333332,11.86,11.916666666666666,11.903333333333334,39.55,36.63333333333333,38.36666666666667,36.910000000000004,33.31333333333333,34.10666666666667,15.176666666666668,40.53333333333333,41.42
2024-06-06 13:00:00,2024-06-06 13:15:00,2024-06-06 13:30:00,686.5666666666666,112.16666666666667,330.25545939028444,404.9577927236178,960.0,16.453333333333333,16.603333333333335,62.660000000000004,53.54,10.132122461511118,8.792275113220144,0.0,0.0,4.104,3.9433333333333334,249.5798293988614,11.82,12.350000000000001,12.32,12.079999999999998,12.07,12.016666666666666,11.856666666666667,11.92,11.883333333333335,39.49,36.57666666666667,38.31,36.88333333333333,33.27,34.07,15.17,40.47666666666667,41.37666666666667
