TIMESTAMP,incomingShortwaveRadiation_43m,outgoingShortwaveRadiation_43m,incomingLongwaveRadiation_43m,outgoingLongwaveRadiation_43m,airPressure_43m,airTemperature_2m,airTemperature_43m,relHumidity_2m,relHumidity_43m,VaporPressure_43m,VaporPressureDeficit_43m,Precipitation_43m,belowcanopyPrecipitation_1m,WindVelocity_I_43m,WindVelocity_II_43m,WindDirection_43m,soilTemperature_1_5cm,soilTemperature_2_5cm,soilTemperature_3_5cm,soilTemperature_1_15cm,soilTemperature_2_15cm,soilTemperature_3_15cm,soilTemperature_1_30cm,soilTemperature_2_30cm,soilTemperature_3_30cm,soilMoisture_1_5cm,soilMoisture_2_5cm,soilMoisture_3_5cm,soilMoisture_1_15cm,soilMoisture_2_15cm,soilMoisture_3_15cm,soilMoisture_1_30cm,soilMoisture_2_30cm,soilMoisture_3_30cm
-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,ms-1,deg,degC,degC,degC,degC,degC,degC,degC,degC,degC,%,%,%,%,%,%,%,%,%
2024-04-01,19.535152777777775,2.9131597222222236,338.36112665888095,354.6298905477697,939.6597222222222,8.548125,8.848069444444445,94.64861111111122,86.81715277777775,9.877186807891,1.5908279441941942,16.900000000000002,14.038999999999996,3.651312499999999,3.447222222222223,230.9346479771296,8.448444444444439,8.865138888888895,8.787291666666668,8.667361111111122,8.47631944444445,8.539513888888893,7.813388888888891,7.787486111111109,7.828368055555556,38.73597222222224,35.88361111111109,40.711458333333354,38.37486111111109,34.76166666666669,35.78263888888889,16.31006944444445,42.33847222222222,42.79736111111111
2024-04-02,99.85286805555555,12.271097222222219,323.3495449241937,349.58642686863817,948.6458333333334,7.59494444444444,7.44048611111111,87.50222222222222,82.85006944444444,8.507498359475557,1.8671611530354235,2.6,1.9009999999999998,5.5153125,5.293520833333334,247.55162497300174,7.781708333333335,8.190805555555555,8.011812499999998,8.159215277777772,8.08129166666666,8.01822916666666,7.783624999999996,7.790090277777779,7.77693055555556,38.61965277777777,35.51423611111113,40.41534722222225,38.287569444444415,34.924513888888846,35.9642361111111,16.127916666666646,42.635486111111106,42.94402777777776
2024-04-03,68.58670833333333,7.997687499999996,337.9091733163757,352.2470760941535,949.9166666666666,8.1263125,7.909326388888886,91.92916666666667,88.04562499999997,9.399353069979002,1.2905894543206147,1.2,0.948,4.0451944444444425,3.655229166666667,229.6192762330133,7.833326388888889,8.22377083333333,8.091611111111114,8.135590277777787,7.99018055555556,7.935152777777783,7.729208333333332,7.705166666666661,7.683340277777775,38.70166666666665,35.31298611111114,40.369791666666714,38.312222222222175,34.826944444444464,35.926319444444474,16.001041666666644,42.329374999999985,42.76458333333334
2024-04-04,56.87619444444447,7.112527777777779,326.9062434915054,355.91350738039444,951.0833333333334,9.028194444444438,9.045270833333337,89.61944444444443,84.65374999999999,9.786240598817942,1.7751523228979351,3.000000000000001,2.535,5.233291666666666,4.921895833333334,239.61884265701624,8.00145833333333,8.406034722222225,8.295215277777771,8.282152777777775,8.119958333333328,8.089965277777774,7.803958333333327,7.770472222222218,7.756041666666665,39.09930555555554,35.834166666666675,40.97673611111111,38.61840277777778,35.134236111111086,36.2354861111111,16.239305555555575,42.54000000000004,42.98993055555555
2024-04-05,88.89329166666668,10.870104166666668,337.1993709346328,374.7260931568549,955.1944444444445,10.982230745953643,12.594444444444438,82.53375000000003,78.0959722222222,11.312357444645356,3.489875882988731,0.4,0.396,4.911555555555555,4.5709583333333335,227.31176751018822,8.719402777777773,9.087291666666669,9.13444444444444,8.716250000000004,8.431875000000007,8.470486111111104,7.938215277777786,7.89090277777777,7.890243055555552,39.47895833333331,35.163263888888835,40.07819444444444,38.29430555555557,34.86187500000003,35.914722222222196,16.132430555555526,42.71347222222224,43.10249999999996
2024-04-06,197.57502777777776,25.655006944444445,329.79316096351374,403.6863554079584,958.0694444444445,13.119641020578875,17.957361111111105,59.65656746031746,56.03569444444447,10.892330158977165,10.267002306465072,0.0,0.0,3.9666805555555555,3.616124999999999,208.72581892502762,10.268153102664073,10.554131741390504,10.75100308641975,9.88533666341781,9.398832277452888,9.549047230344387,8.455898391812864,8.374448546133856,8.400751380766732,39.186546864847315,34.183241146848566,39.04817738791425,37.921985461338544,34.1821064814815,35.23879629629633,15.886220354126042,42.240092998700476,42.88005320012997
2024-04-07,158.56877083333333,20.68265277777777,339.135320804584,408.08402219347295,958.5555555555555,17.925589994173393,18.960208333333334,51.222847222222214,47.57576388888888,10.393876686395313,11.625119751233504,0.0,0.0,3.7135624999999997,3.386979166666668,216.81978461296782,11.405138888888898,11.649375000000006,11.800416666666672,10.988958333333326,10.440416666666671,10.624375000000006,9.211874999999996,9.108333333333341,9.154166666666672,38.83854166666664,33.11451388888889,37.96013888888889,37.52993055555555,33.43868055555557,34.436874999999986,15.723819444444448,41.83763888888888,42.65041666666664
2024-04-08,199.91027083333333,26.656562500000007,342.7874519755457,410.0772714199899,953.9583333333334,15.580291221551041,19.055347222222228,55.902986111111126,51.396666666666675,10.879077289362302,11.601351145673938,0.2,0.158,2.957993055555556,2.796131944444444,196.91785582457103,12.17784722222222,12.399895833333334,12.50465277777778,11.702222222222213,11.111666666666661,11.277222222222218,9.788680555555556,9.687951388888889,9.717048611111112,39.52326388888891,32.421597222222225,37.02756944444451,37.17673611111112,32.906180555555494,33.84118055555556,15.601076388888876,41.5625347222222,42.37069444444448
2024-04-09,83.85408333333338,11.033138888888896,342.6901562845321,381.36282295119844,954.1805555555555,13.677263888888886,13.722944444444442,66.99013888888888,62.16750000000002,9.53957725157107,6.891869002277813,0.5,0.47400000000000003,4.437388888888886,4.230965277777779,240.77093316594724,12.07263888888889,12.33534722222222,12.189722222222224,11.985763888888895,11.525902777777773,11.597291666666676,10.31909722222224,10.216249999999974,10.220763888888875,39.36666666666664,31.716041666666683,36.12874999999994,36.83868055555557,32.48319444444446,33.349861111111125,15.513402777777761,41.24638888888888,42.021527777777784
