,H_orig,LE_orig,ET_orig,CO2,H2O,NEE_orig,Reco,GPP_f,Ustar,location,date,year,month,day
0,0.3111599552714225,0.17492934548653355,0.1720855059621509,0.4766978122151322,0.24206798176149055,0.5255690094013448,0.04884720768082687,0.4480528926581616,0.1955175330167198,0,2023-02-16 12:30:00,2023,2,16
1,0.3396542780704427,0.19231690654887795,0.1892518089447579,0.47470373746581584,0.24626003603609511,0.5337904044490871,0.05760352854692474,0.44135402877383884,0.12449417734695205,0,2023-02-16 13:00:00,2023,2,16
2,0.342553395793736,0.19169739280166204,0.18868594338799405,0.4767547857793981,0.24497742314464713,0.5195000662066531,0.06276358290080417,0.4563257349839257,0.1657601977750309,0,2023-02-16 13:30:00,2023,2,16
3,0.30609812907510014,0.17792023058638567,0.1751299311228138,0.4769257064721968,0.249284215952672,0.5307640247760009,0.0639451114922813,0.4453806205722765,0.11900982369396916,0,2023-02-16 14:00:00,2023,2,16
4,0.2966214969021211,0.1698178891613169,0.16716841457101633,0.47874886052871446,0.25765193328282104,0.5390325001103445,0.06675814751286449,0.4376649258833627,0.12623772038253855,0,2023-02-16 14:30:00,2023,2,16
5,0.25880928815448556,0.15934604802635274,0.1568382551149786,0.4766978122151322,0.26246275607694197,0.5481351792729039,0.06347552961618141,0.42812795484631166,0.13029731312211307,0,2023-02-16 15:00:00,2023,2,16
6,0.23535199100238016,0.14374029085328194,0.14146845192348584,0.4780651777575202,0.2710230702310465,0.558947461342671,0.06208193179033661,0.4172104796124697,0.08486760783293215,0,2023-02-16 15:30:00,2023,2,16
7,0.21096116159350262,0.14430178367553204,0.1420197402452157,0.4831358249772104,0.28374265622163547,0.5857112801424179,0.061591855828562525,0.39066814075614975,0.10158740485329518,0,2023-02-16 16:30:00,2023,2,16
8,0.20214197917143134,0.13458851934342775,0.13245173274443695,0.47487465815861407,0.31987709863948777,0.595421442128029,0.058314584215098775,0.38053212690746696,0.14053737557738596,0,2023-02-16 17:30:00,2023,2,16
9,0.20775841961621272,0.12949970989537518,0.12744244898320634,0.45801048313582493,0.3106488423086868,0.6003957686592418,0.05698246864627651,0.3753960403241058,0.09118469845813544,0,2023-02-16 18:00:00,2023,2,16
10,0.21306405029791478,0.12601489827621704,0.12401339489882099,0.45316773017319933,0.3023794722928979,0.5945239741646928,0.05649952106212827,0.38112360531254097,0.09404072604254766,0,2023-02-16 18:30:00,2023,2,16
11,0.2163149822243806,0.1233625933481817,0.12140338834239198,0.46291020966271645,0.3030392188600644,0.5981373861613383,0.05548907353367044,0.3773859156568669,0.05436145989200443,0,2023-02-16 19:00:00,2023,2,16
12,0.20838641364591434,0.12484175260626253,0.12285812597179138,0.47276663628076543,0.3015148354874809,0.6020244523238536,0.05509968590586084,0.37347779410267234,0.10532821547069156,0,2023-02-16 19:30:00,2023,2,16
13,0.20350782604125814,0.1295309663291471,0.12747043514994333,0.4755583409298083,0.30019534235314793,0.6003678147390723,0.054910783898777016,0.3750851723084533,0.14231344740094984,0,2023-02-16 20:00:00,2023,2,16
14,0.19895211596211373,0.13389863182915646,0.13177373967803818,0.4520852324521418,0.30613306145764646,0.6023952095808384,0.05879040342162126,0.37371394905663124,0.13368030707175851,0,2023-02-16 21:00:00,2023,2,16
15,0.19249558731885788,0.1349858690973067,0.1328476432418606,0.44581814038286227,0.31155445716175384,0.6075078344539423,0.06082555523378852,0.36899087907132366,0.15321059137336543,0,2023-02-16 21:30:00,2023,2,16
16,0.20061389875341962,0.12886859196316608,0.12682839680986469,0.4426845943482225,0.314722060245106,0.6019861995909901,0.06248824931500746,0.3747226626711084,0.12928241493721945,0,2023-02-16 22:00:00,2023,2,16
17,0.1973812468918213,0.13762376237623763,0.13545121567144497,0.4196103008204193,0.3197172842536524,0.5996292427430152,0.06396471453075228,0.377293688084605,0.16995641142411036,0,2023-02-16 23:00:00,2023,2,16
18,0.19663714930903953,0.13515543992962625,0.13301845851162045,0.41721741112123967,0.32442975973341315,0.6060689431946917,0.06280991735537186,0.37073854792487965,0.1593260035131091,0,2023-02-16 23:30:00,2023,2,16
19,0.19805021292139444,0.13509105541934158,0.1329539806468042,0.4180150410209662,0.3224054441794985,0.6056157954361547,0.06225390390055913,0.3710955297266631,0.2046190878927851,0,2023-02-17 00:00:00,2023,2,17
20,0.206036735955736,0.1284124726272249,0.1263769299013134,0.41847082953509585,0.3283964347459422,0.6003678147390723,0.06046646321088858,0.3759924646873137,0.17633855962526837,0,2023-02-17 00:30:00,2023,2,17
21,0.20986550932932113,0.124110876115967,0.12214188467090781,0.41733135824977197,0.3323139361012912,0.5998293339610705,0.059213650843153415,0.37632093449514864,0.10549085941057836,0,2023-02-17 01:00:00,2023,2,17
22,0.20281083166022892,0.13238522150891838,0.130284359835962,0.42297174111212366,0.3345513375029862,0.6042563521605439,0.059376712481343685,0.37196990239006156,0.15490208834818814,0,2023-02-17 01:30:00,2023,2,17
23,0.20673176770335885,0.12324093657002752,0.12128493879554049,0.41641978122151313,0.3456481928066315,0.6104591799202578,0.058433984540331024,0.3656829058958731,0.23223602888556372,0,2023-02-17 02:00:00,2023,2,17
24,0.1931602063587376,0.1254111063280241,0.12342114689061007,0.4152233363719233,0.34611534254984255,0.6105651105651106,0.05981510770533066,0.36580422733951096,0.2222301737037278,0,2023-02-17 02:30:00,2023,2,17
25,0.20177702667851385,0.12681914316195325,0.12480900900139996,0.41408386508659945,0.34936899953325995,0.6082890729597317,0.062392016217059115,0.3684751902011842,0.1958363151388979,0,2023-02-17 03:00:00,2023,2,17
