H_f,LE_f,H_orig,location,day,year,month,date,30min,LE_orig,waterVaporPressure,soilHeatflux,incomingShortwaveRadiation,airPressure,relativeHumidity,waterPressureDeficit,windSpeed,outgoingShortwaveRadiation
-10.484810000000001,3.2711930000000002,-10.484810000000001,0,17,2023,2,2023-02-17 01:00:00,2,3.2712,8.876231007515731,3.080666666666667,-0.572,991.8146666666667,87.699,1.2450143972388616,1.5406666666666666,-0.15633333333333332
-14.83415,7.692124000000001,-14.83415,0,17,2023,2,2023-02-17 01:30:00,3,7.6921,8.927192610432929,2.972,-0.5196666666666666,991.5373333333333,88.31366666666666,1.1813137480766205,2.1003333333333334,-0.18666666666666668
-12.41682,2.8064459999999998,-12.41682,0,17,2023,2,2023-02-17 02:00:00,4,2.8064,9.171260128321919,3.1489999999999996,-1.1093333333333333,991.2373333333334,91.69166666666666,0.8310230253509925,2.5443333333333333,-0.145
-20.78394,3.9658809999999995,-20.78394,0,17,2023,2,2023-02-17 02:30:00,5,3.9659,9.238960572104135,3.3970000000000002,-0.44733333333333336,990.9613333333333,91.54033333333332,0.8538151866005546,2.099,-0.09699999999999999
-15.47151,4.718158,-15.47151,0,17,2023,2,2023-02-17 03:00:00,6,4.7182,9.307674334681304,3.519666666666667,-0.39833333333333326,990.5933333333332,90.49266666666666,0.9778821391559553,2.0736666666666665,-0.15433333333333332
-14.2415,5.635194,-14.2415,0,17,2023,2,2023-02-17 03:30:00,7,5.6352,9.466716826498446,3.700333333333333,-0.6333333333333334,990.1443333333333,91.07499999999999,0.9277018685314165,2.1606666666666667,-0.08133333333333333
-15.893089999999999,3.9903699999999995,-15.893089999999999,0,17,2023,2,2023-02-17 04:00:00,8,3.9904,9.618718777763645,3.999,-0.48900000000000005,989.8956666666667,92.053,0.8303907328048812,2.526,-0.13566666666666669
-13.58063,2.6666689999999997,-13.58063,0,17,2023,2,2023-02-17 04:30:00,9,2.6667,9.725234507100344,4.351999999999999,-0.5086666666666667,989.7043333333335,92.46533333333333,0.7924742995518912,2.166,-0.07266666666666667
-16.54318,2.954576,-16.54318,0,17,2023,2,2023-02-17 05:00:00,10,2.9546,9.787886868064932,4.577,-0.511,989.3933333333334,92.29466666666667,0.8171537280673089,2.313333333333334,-0.13866666666666666
-14.7057,2.2262009999999997,-14.7057,0,17,2023,2,2023-02-17 05:30:00,11,2.2262,9.855761122295819,4.788666666666667,-0.44566666666666666,989.4113333333335,91.88133333333333,0.8708584910051993,2.057,-0.10233333333333333
