year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,day_of_year,H_orig,LE_orig
2023,5,20,16,1,147.79999999999998,-30.911031041548174,2.0930592405082376,3.5186666666666664,140,140,57.786559999999994,22.891
2024,5,26,32,1,379.5666666666666,-13.784779200658727,12.019650209321183,3.0273333333333334,147,147,51.663470000000004,45.562
2024,6,29,17,1,632.5666666666666,-0.49796828627797135,8.183720840225865,3.0673333333333335,181,181,185.2737,123.07
2023,7,15,43,0,-2.427333333333333,-20.62033333333333,4.004158770211863,0.884,196,196,-12.12583,5.5807
2023,3,4,3,0,-0.5670000000000001,-5.164666666666666,0.6226631649074728,0.7663333333333333,63,63,-9.35472,4.5771
2023,7,22,31,1,494.1000000000001,-48.9754823037403,12.674646516996347,3.792333333333333,203,203,117.3826,200.59
2024,4,3,12,1,20.206666666666667,4.6799945057568015,0.5657131863974953,4.291333333333333,94,94,-21.73869,16.899
2024,5,1,22,0,815.7426666666667,87.46333333333332,17.27945461657057,2.856333333333333,122,122,88.27206,188.28
2024,4,27,39,1,-0.8493333333333334,-12.394315798989446,10.000324650190823,2.2116666666666664,118,118,-40.08302,9.8103
2023,5,6,19,0,504.6523333333333,22.695666666666668,4.001061853235642,1.1633333333333333,126,126,55.0621,107.05
2023,5,28,26,1,858.6666666666666,-33.96895483671077,14.230518652731499,2.0623333333333336,148,148,303.0196,154.63
2024,5,15,0,1,-2.813,-7.558591525475895,9.045521463969797,4.417666666666666,136,136,-70.44608000000001,11.99
2023,6,17,23,1,905.3333333333334,-31.089844722070843,11.823302871919605,3.953,168,168,250.8524,161.7
2023,7,14,11,1,141.53333333333333,-31.082174042129346,4.288073403098727,2.7456666666666667,195,195,-26.20061,11.92
2024,5,22,38,1,17.153333333333332,-5.319007304571321,1.2029748235893614,2.7910000000000004,143,143,-6.51575,9.4567
2023,6,28,5,1,-2.472,-22.861882646348686,2.2951175144533735,3.2163333333333335,179,179,-25.612470000000002,1.5663
2024,6,30,46,1,-1.085,-1.829673725810276,1.5368721859529888,2.829333333333333,182,182,-15.195170000000001,6.8562
2024,4,6,16,1,345.73333333333335,-4.236833786813461,4.313407583839425,2.763,97,97,93.54652,26.891
2023,6,15,28,1,678.9666666666667,-30.258154867660817,16.52152276514949,2.264666666666667,166,166,262.5963,142.23
2024,5,23,12,1,235.83333333333334,1.5499215607024246,1.3916257286677212,2.9806666666666666,144,144,16.41853,21.523000000000003
2023,5,2,14,0,39.732000000000006,-0.9470000000000001,1.3400035932561298,1.438,122,122,-5.2269,19.891
2023,7,30,24,1,114.23333333333333,-43.828021873574606,1.0732657289066303,4.783666666666668,211,211,-7.01825,75.697
2024,4,29,1,1,-1.8333333333333333,-6.634921369665491,4.187387257985398,3.5003333333333333,120,120,-49.28693,7.2154
2023,5,17,47,1,-2.1326666666666667,-28.447657306755566,2.4652243061540347,4.187,137,137,-55.60547,3.0139
2024,5,25,15,0,278.18899999999996,24.428333333333338,3.3458876513426112,1.1119999999999999,146,146,30.568009999999997,46.806000000000004
2024,4,9,42,0,-2.9566666666666666,-13.593000000000002,3.830647351932152,2.0486666666666666,100,100,-30.8962,13.697000000000001
2024,4,3,3,0,-2.974,-6.561,1.8738167174475642,1.234333333333333,94,94,-28.06355,23.381
2024,4,16,34,1,110.33333333333333,8.51202915353792,1.7240687654295233,3.035,107,107,13.806729999999998,45.033
2023,5,21,0,1,-1.2226666666666668,-35.22904492936208,3.3703782468941714,4.1690000000000005,141,141,-38.233509999999995,2.4598
2023,7,5,31,0,512.2596666666666,24.465999999999998,14.647706818340055,3.3953333333333333,186,186,55.6622,154.99
2024,5,6,25,1,450.93333333333334,-2.7817226284348338,5.552261389044695,1.9013333333333333,127,127,215.9032,87.425
2023,6,4,7,1,-2.0276666666666667,-32.5666677055216,6.939246230634681,2.448,155,155,-32.05198,7.7952
2024,5,6,12,0,48.11766666666667,-8.293,1.0524185374858064,0.5293333333333333,127,127,5.84171,13.110999999999999
2023,4,27,22,0,685.3530000000001,19.15133333333333,6.493308121589036,1.33,117,117,140.5589,150.43
2023,6,15,13,0,316.28833333333336,-10.396666666666667,4.619368972644196,0.6623333333333333,166,166,31.273979999999998,33.400999999999996
2023,5,9,42,0,-3.806666666666666,-5.489,8.822991609372629,2.759,129,129,-56.4973,36.472
2023,5,16,33,1,289.76666666666665,-31.109527976260285,6.65052022652594,5.1339999999999995,136,136,89.21136,41.813
2023,6,19,6,1,-0.88,-20.17605919325312,12.142355154842162,2.971666666666667,170,170,-3.6987699999999997,2.8555
2023,7,3,4,1,-1.7566666666666666,-29.244250182187972,4.574182397683549,3.2546666666666666,184,184,-20.19444,1.7089
