year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,H_orig,LE_orig,day_of_year
2023,2,16,23,0,408.58200000000005,6.283666666666666,2.1313915089289743,1.9886666666666668,47,93.7665,112.71,47
2023,2,16,25,0,256.372,11.058,2.456926742394315,1.9106666666666667,47,51.9651,30.423000000000002,47
2023,2,16,26,0,371.89366666666666,10.838333333333333,2.9979573457371522,1.5483333333333336,47,69.53238,39.713,47
2023,2,16,27,0,342.721,13.126333333333333,3.4797007031915994,2.116,47,71.31974,39.382,47
2023,2,16,28,0,279.88033333333334,14.722000000000001,3.488344947379237,1.4283333333333335,47,48.844390000000004,32.021,47
2023,2,16,29,0,254.45366666666666,15.668,3.5524254854598265,1.8419999999999999,47,43.001870000000004,27.691999999999997,47
2023,2,16,30,0,147.94633333333334,14.982666666666667,3.2046056372695135,1.4503333333333333,47,19.68994,22.096999999999998,47
2023,2,16,31,0,83.69933333333334,12.858666666666666,2.967701075331986,1.2463333333333333,47,5.22808,13.759,47
2023,2,16,33,0,9.496,8.553333333333333,2.5659398815059884,1.0226666666666666,47,-9.80932,14.059000000000001,47
2023,2,16,35,0,-1.7293333333333336,5.033333333333333,1.961340096715963,1.5536666666666668,47,-15.24651,8.8693,47
2023,2,16,36,0,-1.1756666666666666,4.033666666666666,1.8057280664760675,1.213,47,-11.78387,6.1504,47
2023,2,16,37,0,-0.8626666666666667,3.312666666666667,1.7409392779141015,1.1169999999999998,47,-8.51285,4.2885,47
2023,2,16,38,0,-0.753,2.798666666666666,1.641258673545014,0.701,47,-6.50859,2.8714,47
2023,2,16,39,0,-1.022,2.4,1.6381503219500786,1.1620000000000001,47,-11.3967,3.6617,47
2023,2,16,40,0,-1.0786666666666667,2.0423333333333336,1.6470282910190104,1.6079999999999999,47,-14.40444,6.1671,47
2023,2,16,41,0,-1.0346666666666666,1.7836666666666667,1.6941349996213138,1.5423333333333333,47,-11.15905,5.5855,47
2023,2,16,42,0,-0.8079999999999999,1.719,1.807137840686483,1.6963333333333335,47,-17.21312,8.5007,47
2023,2,16,43,0,-0.734,1.9100000000000001,1.8452682382598553,1.939,47,-21.19369,9.0816,47
2023,2,16,44,0,-1.0813333333333333,2.244666666666667,1.9310673671012015,1.7830000000000001,47,-16.1886,5.8132,47
2023,2,16,45,0,-0.9686666666666669,2.4433333333333334,1.9013699278381182,1.5196666666666667,47,-11.32158,6.3667,47
2023,2,16,46,0,-0.6680000000000001,2.569,1.931586118457215,1.8216666666666665,47,-18.18159,10.491,47
2023,2,16,47,0,-1.075,2.802,1.7316520283251347,1.9796666666666667,47,-18.64034,9.1722,47
2023,2,17,0,0,-0.9206666666666666,3.0246666666666666,1.728852059941751,2.1876666666666664,48,-17.76916,9.1378,48
2023,2,17,1,0,-0.715,3.126,1.4688274993404296,2.0283333333333333,48,-12.84532,5.5695,48
2023,2,17,2,0,-0.572,3.080666666666667,1.2450143972388616,1.5406666666666666,48,-10.484810000000001,3.2712,48
2023,2,17,3,0,-0.5196666666666666,2.972,1.1813137480766205,2.1003333333333334,48,-14.83415,7.6921,48
2023,2,17,4,0,-1.1093333333333333,3.1489999999999996,0.8310230253509925,2.5443333333333333,48,-12.41682,2.8064,48
2023,2,17,5,0,-0.44733333333333336,3.3970000000000002,0.8538151866005546,2.099,48,-20.78394,3.9659,48
2023,2,17,6,0,-0.39833333333333326,3.519666666666667,0.9778821391559553,2.0736666666666665,48,-15.47151,4.7182,48
2023,2,17,7,0,-0.6333333333333334,3.700333333333333,0.9277018685314165,2.1606666666666667,48,-14.2415,5.6352,48
2023,2,17,8,0,-0.48900000000000005,3.999,0.8303907328048812,2.526,48,-15.893089999999999,3.9904,48
2023,2,17,9,0,-0.5086666666666667,4.351999999999999,0.7924742995518912,2.166,48,-13.58063,2.6667,48
2023,2,17,10,0,-0.511,4.577,0.8171537280673089,2.313333333333334,48,-16.54318,2.9546,48
2023,2,17,11,0,-0.44566666666666666,4.788666666666667,0.8708584910051993,2.057,48,-14.7057,2.2262,48
2023,2,17,12,0,-0.5296666666666666,4.910666666666667,0.9083150949817504,1.832,48,-14.266670000000001,2.6019,48
2023,2,17,13,0,-0.536,4.960333333333334,0.9439241009867647,2.010666666666667,48,-14.52554,2.7064,48
2023,2,17,14,0,-0.5106666666666667,5.051333333333333,0.9885041114645983,1.7873333333333334,48,-17.427570000000003,1.7336,48
2023,2,17,15,0,6.247333333333334,4.966666666666667,1.0478167822631512,2.2306666666666666,48,-17.40576,4.2333,48
2023,2,17,16,0,24.31233333333333,5.328333333333333,1.1834952185841061,2.2133333333333334,48,-18.19727,6.4509,48
2023,2,17,17,0,44.458,5.834333333333333,1.417974835739134,2.1999999999999997,48,-11.8483,11.355,48
2023,2,17,18,0,22.545333333333335,6.626666666666666,1.621389210824491,2.302,48,-11.4887,12.677999999999999,48
2023,2,17,19,0,32.63033333333333,7.026666666666666,1.6464059493877485,2.0706666666666664,48,-10.09753,13.527999999999999,48
2023,2,17,20,0,35.81666666666667,7.6723333333333334,1.724586675285856,2.465333333333333,48,-10.78767,15.034,48
2023,2,17,21,0,29.912666666666667,8.24,1.7785912740549428,2.2023333333333333,48,-9.31325,10.636,48
2023,2,17,22,0,46.580999999999996,8.790000000000001,1.9667542098149884,2.940666666666667,48,-12.24297,15.095999999999998,48
2023,2,17,23,0,64.985,9.863666666666667,2.1046110631424177,3.077666666666667,48,-8.80687,19.519000000000002,48
