year,month,30min,location,day,H_orig,LE_orig,date,incomingShortwaveRadiation,outgoingShortwaveRadiation
2023,1,33,0,1,,,2023-01-01 16:30:00,-1.527,-0.21366666666666667
2023,1,33,1,1,,,2023-01-01 16:30:00,-0.5479999999999999,0.36533333333333334
2023,1,34,0,1,,,2023-01-01 17:00:00,-1.527,-0.24199999999999997
2023,1,34,1,1,,,2023-01-01 17:00:00,-0.5733333333333334,0.4663333333333333
2023,1,35,0,1,,,2023-01-01 17:30:00,-1.5039999999999998,-0.2273333333333333
2023,1,35,1,1,,,2023-01-01 17:30:00,-0.5436666666666667,0.5126666666666666
2023,1,36,0,1,,,2023-01-01 18:00:00,-1.3773333333333333,-0.231
2023,1,36,1,1,,,2023-01-01 18:00:00,-0.5413333333333333,0.41966666666666663
2023,1,37,0,1,,,2023-01-01 18:30:00,-1.4736666666666667,-0.288
2023,1,37,1,1,,,2023-01-01 18:30:00,-0.6746666666666666,0.4053333333333333
2023,1,38,0,1,,,2023-01-01 19:00:00,-1.7686666666666666,-0.07266666666666666
2023,1,38,1,1,,,2023-01-01 19:00:00,-0.9546666666666667,0.5253333333333333
2023,1,39,0,1,,,2023-01-01 19:30:00,-1.36,-0.165
2023,1,39,1,1,,,2023-01-01 19:30:00,-0.6030000000000001,0.32533333333333336
2023,1,40,0,1,,,2023-01-01 20:00:00,-1.4786666666666666,-0.11966666666666666
2023,1,40,1,1,,,2023-01-01 20:00:00,-0.6633333333333334,0.3786666666666667
2023,1,41,0,1,,,2023-01-01 20:30:00,-3.268666666666667,0.8300000000000001
2023,1,41,1,1,,,2023-01-01 20:30:00,-1.099,0.8109999999999999
2023,1,42,0,1,,,2023-01-01 21:00:00,-4.964333333333333,2.599666666666667
2023,1,42,1,1,,,2023-01-01 21:00:00,-1.4446666666666665,1.22
2023,1,43,0,1,,,2023-01-01 21:30:00,-4.501,2.7386666666666666
2023,1,43,1,1,,,2023-01-01 21:30:00,-0.884,2.5566666666666666
2023,1,44,0,1,,,2023-01-01 22:00:00,-4.417666666666666,2.8476666666666666
2023,1,44,1,1,,,2023-01-01 22:00:00,-0.5436666666666667,2.8303333333333334
2023,1,45,0,1,,,2023-01-01 22:30:00,-2.3173333333333335,2.3973333333333335
2023,1,45,1,1,,,2023-01-01 22:30:00,-0.04066666666666666,2.254
2023,1,46,0,1,,,2023-01-01 23:00:00,-1.0106666666666666,1.115
2023,1,46,1,1,,,2023-01-01 23:00:00,-0.5289999999999999,1.351
2023,1,47,0,1,,,2023-01-01 23:30:00,-1.5006666666666666,0.5163333333333333
2023,1,47,1,1,,,2023-01-01 23:30:00,0.10600000000000001,1.3295
2023,1,0,0,2,,,2023-01-02 00:00:00,-1.709666666666667,0.02166666666666667
2023,1,0,1,2,,,2023-01-02 00:00:00,-0.7983333333333333,1.611
2023,1,1,0,2,,,2023-01-02 00:30:00,-1.2473333333333334,-0.2916666666666667
2023,1,1,1,2,,,2023-01-02 00:30:00,-0.4056666666666667,0.5643333333333332
2023,1,2,0,2,,,2023-01-02 01:00:00,-1.7413333333333334,-0.3176666666666667
2023,1,2,1,2,,,2023-01-02 01:00:00,-0.606,0.6749999999999999
2023,1,3,0,2,,,2023-01-02 01:30:00,-2.6966666666666668,-0.222
2023,1,3,1,2,,,2023-01-02 01:30:00,-1.1643333333333334,1.012
2023,1,4,0,2,,,2023-01-02 02:00:00,-1.648666666666667,-0.38933333333333336
2023,1,4,1,2,,,2023-01-02 02:00:00,-0.582,0.5943333333333333
2023,1,5,0,2,,,2023-01-02 02:30:00,-2.1596666666666664,-0.27899999999999997
2023,1,5,1,2,,,2023-01-02 02:30:00,-0.7556666666666666,0.6443333333333333
2023,1,6,0,2,,,2023-01-02 03:00:00,-1.9516666666666664,-0.357
2023,1,6,1,2,,,2023-01-02 03:00:00,-0.7086666666666667,0.5630000000000001
2023,1,7,0,2,,,2023-01-02 03:30:00,-1.8576666666666666,-0.294
2023,1,7,1,2,,,2023-01-02 03:30:00,-0.8869999999999999,0.5433333333333333
2023,1,8,0,2,,,2023-01-02 04:00:00,-2.013666666666667,-0.25866666666666666
2023,1,8,1,2,,,2023-01-02 04:00:00,-0.8796666666666667,0.633
2023,1,9,0,2,,,2023-01-02 04:30:00,-1.9896666666666665,-0.25299999999999995
2023,1,9,1,2,,,2023-01-02 04:30:00,-0.8756666666666666,0.6716666666666667
2023,1,10,0,2,,,2023-01-02 05:00:00,-1.609333333333333,-0.33899999999999997
2023,1,10,1,2,,,2023-01-02 05:00:00,-0.572,0.4756666666666667
2023,1,11,0,2,,,2023-01-02 05:30:00,-1.57,-0.3136666666666667
2023,1,11,1,2,,,2023-01-02 05:30:00,-0.6323333333333334,0.482
2023,1,12,0,2,,,2023-01-02 06:00:00,-1.973,-0.16033333333333333
2023,1,12,1,2,,,2023-01-02 06:00:00,-0.6423333333333333,0.4763333333333333
2023,1,13,0,2,,,2023-01-02 06:30:00,-1.772,-0.28533333333333327
2023,1,13,1,2,,,2023-01-02 06:30:00,-0.7086666666666667,0.46799999999999997
2023,1,14,0,2,,,2023-01-02 07:00:00,-1.9636666666666667,-0.25499999999999995
2023,1,14,1,2,,,2023-01-02 07:00:00,-1.2866666666666668,0.8000000000000002
2023,1,15,0,2,,,2023-01-02 07:30:00,-2.4936666666666665,-0.29733333333333334
2023,1,15,1,2,,,2023-01-02 07:30:00,-0.9876666666666667,0.6446666666666667
2023,1,16,0,2,,,2023-01-02 08:00:00,-1.689,0.121
2023,1,16,1,2,,,2023-01-02 08:00:00,0.1596666666666667,1.075
2023,1,17,0,2,,,2023-01-02 08:30:00,9.604999999999999,2.28
2023,1,17,1,2,,,2023-01-02 08:30:00,13.647666666666666,2.6963333333333335
2023,1,18,0,2,,,2023-01-02 09:00:00,31.217,7.289999999999999
2023,1,18,1,2,,,2023-01-02 09:00:00,44.379999999999995,6.683333333333333
2023,1,19,0,2,,,2023-01-02 09:30:00,27.652333333333335,6.064666666666667
2023,1,19,1,2,,,2023-01-02 09:30:00,53.57,7.418666666666667
2023,1,20,0,2,,,2023-01-02 10:00:00,38.839666666666666,7.852666666666667
2023,1,20,1,2,,,2023-01-02 10:00:00,64.74,7.727333333333333
