TIMESTAMP_START,TIMESTAMP_MITTE,TIMESTAMP_ENDE,kurzwEinstrahlung_43m,kurzwAusstrahlun_43m,langwEinstrahlung_43m,langwAusstrahlung_43m,Luftdruck_43m,Lufttemperatur_43m,RelativeFeuchte_43m,Wasserdampfdruck_43m,Wasserdampfdefizit_43m,Niederschlag_43m,Windgeschw_I_43m,Windgeschw_II_43m,BestandsNiederschlag_1m,Bodentemp_1_5cm,Bodentemp_2_5cm,Bodentemp_3_5cm,Bodentemp_4_5cm,Bodentemp_1_15cm,Bodentemp_2_15cm,Bodentemp_3_15cm,Bodentemp_4_15cm,Bodentemp_1_30cm,Bodentemp_2_30cm,Bodentemp_3_30cm,Bodentemp_4_30cm
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,%,hPa,hPa,mm,ms-1,ms-1,mm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC
2023-04-01 00:00:00,2023-04-01 00:15:00,2023-04-01 00:30:00,-0.20133333333333336,1.704,345.8601295591605,354.47712955916046,940.0,7.859333333333333,84.2,8.955297165386227,1.680447686616418,0.05,4.41,4.0409999999999995,0.0,15.13178,NaN,11.614519999999999,NaN,13.42305,13.48,NaN,11.956409999999998,NaN,7.184985,7.662606499999999,7.010867
2023-04-01 00:30:00,2023-04-01 00:45:00,2023-04-01 01:00:00,-0.19733333333333336,1.5666666666666667,345.3189622923274,352.87862895899406,940.0,7.483333333333333,87.93333333333334,9.114947494952052,1.2508002248569525,0.1,4.235666666666667,3.7590000000000003,0.0,15.13178,NaN,11.64301,NaN,13.42305,13.46576,NaN,11.9849,NaN,7.184985,7.575896500000001,7.010867
2023-04-01 01:00:00,2023-04-01 01:15:00,2023-04-01 01:30:00,0.23199999999999998,1.1213333333333335,346.0885247571569,352.0448580904902,940.0,7.32,89.89999999999999,9.215066209982538,1.0352855252594395,0.08,4.468333333333334,4.084666666666667,0.158,15.13178,NaN,11.614519999999999,NaN,13.451525,13.494235,NaN,11.9849,NaN,7.184985,7.5469805,7.0399009999999995
2023-04-01 01:30:00,2023-04-01 01:45:00,2023-04-01 02:00:00,0.2846666666666666,0.9623333333333335,345.81151477195544,351.6048481052888,940.0,7.239999999999999,89.8,9.154431561286895,1.039812939032588,0.15,4.746666666666666,4.401,0.158,15.13178,NaN,11.60027,NaN,13.42305,13.45152,NaN,11.9849,NaN,7.184985,7.532525,7.0399009999999995
2023-04-01 02:00:00,2023-04-01 02:15:00,2023-04-01 02:30:00,0.18600000000000003,0.9786666666666667,345.56767490200855,350.91800823534186,940.0,7.144666666666667,90.3,9.145345751175304,0.9823904073798495,0.11,4.295000000000001,3.954333333333333,0.079,15.13178,NaN,11.57178,NaN,13.437285,13.52271,NaN,11.99915,NaN,7.184985,7.532525,7.0399009999999995
2023-04-01 02:30:00,2023-04-01 02:45:00,2023-04-01 03:00:00,0.25766666666666665,1.0919999999999999,344.67002192654826,350.3993552598816,940.0,7.058,90.69999999999999,9.131318132686637,0.9362873057771317,0.09,4.533,4.192333333333334,0.079,15.13178,NaN,11.557525,NaN,13.42305,13.494235,NaN,12.02763,NaN,7.184985,7.532525,7.0544185
2023-04-01 03:00:00,2023-04-01 03:15:00,2023-04-01 03:30:00,0.129,1.0503333333333333,343.13228701759687,349.7272870175969,940.0,6.939333333333333,91.10000000000001,9.097047328217425,0.888734590791822,0.07,4.132999999999999,3.771333333333333,0.158,15.13037,NaN,11.556035000000001,NaN,13.435835,13.49279,NaN,12.02614,NaN,7.1833775,7.530917500000001,7.038282499999999
2023-04-01 03:30:00,2023-04-01 03:45:00,2023-04-01 04:00:00,0.02,0.8836666666666666,340.7872936980754,349.2072936980754,940.0,6.8503333333333325,91.86666666666667,9.117581696122112,0.807216957131276,0.03,4.864,4.502666666666666,0.0,15.130925,NaN,11.513874999999999,NaN,13.436399999999999,13.50759,NaN,12.055215,NaN,7.1985025,7.531548000000001,7.0534395
2023-04-01 04:00:00,2023-04-01 04:15:00,2023-04-01 04:30:00,0.18899999999999997,1.0250000000000001,341.8445781209695,349.2255781209696,940.0,6.852,91.60000000000001,9.092158883374248,0.8337787622308266,0.03,4.792333333333333,4.439666666666667,0.079,15.130949999999999,NaN,11.52815,NaN,13.450665,13.46491,NaN,12.055240000000001,NaN,7.2130385,7.531578,7.0534605
2023-04-01 04:30:00,2023-04-01 04:45:00,2023-04-01 05:00:00,0.19766666666666666,1.3013333333333332,342.8790478049503,349.504714471617,940.0,6.915333333333333,90.33333333333333,9.005605182442975,0.9636994475676985,0.1,4.922666666666667,4.550999999999999,0.0,15.130989999999999,NaN,11.52819,NaN,13.521889999999999,13.408000000000001,NaN,12.05528,NaN,7.2130825,7.531624000000001,7.0680285
2023-04-01 05:00:00,2023-04-01 05:15:00,2023-04-01 05:30:00,0.23,1.0476666666666667,343.49837629188147,348.9353762918815,940.0,6.782,90.0,8.89037894181194,0.9878198824235493,0.2,4.104666666666667,3.607666666666667,0.158,15.13168,NaN,11.500435,NaN,13.52262,13.42295,NaN,12.070255,NaN,7.199388,7.517949,7.0543095000000005
2023-04-01 05:30:00,2023-04-01 05:45:00,2023-04-01 06:00:00,0.4793333333333334,0.749,342.9839226814176,347.77092268141763,940.0,6.554333333333332,91.63333333333333,8.910725384614134,0.8136020631277372,0.05,3.8040000000000003,3.3329999999999997,0.079,15.116445,NaN,11.513615000000001,NaN,13.507345,13.436160000000001,NaN,12.054965,NaN,7.22723,7.531273499999999,7.053153
