year,month,day,30min,H_orig,LE_orig,CO2,Ustar,NEE_orig,soilHeatflux,airPressure,incomingShortwaveRadiation,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,netRadiation,airTemperature,soilTemperature,day_of_year,artificial_gap,H_f_mlp,H_f_rf,LE_f_mlp,LE_f_rf
2023,2,2,9,,,,,,-3.9708360190662546,959.0,-0.5529999999999999,1.4093251670893467,5.845265603789236,6.099666666666667,80.57333333333332,-20.194333333333415,2.383,4.666072,33,0,-55.78565979003906,-50.448882021246966,20.220914840698242,32.58046171412152
2023,2,2,10,,,,,,-3.344112521885066,959.0,-0.7526666666666667,1.1700794232496223,6.037802034140249,6.957333333333334,83.76666666666667,-32.27966666666674,2.292666666666667,4.6809674999999995,33,0,-62.93534469604492,-49.51706522383724,27.006078720092773,30.841157692126853
2023,2,2,11,,,,,,-3.9708360190662546,959.0,-1.2493333333333334,1.029007908689187,6.1668515926337975,6.742333333333334,85.7,-54.714999999999975,2.2693333333333334,4.6735197500000005,33,0,-60.01415252685547,-51.55350110688741,27.217620849609375,29.189309366103526
2023,2,2,12,,,,,,-4.180014013772384,959.0,-0.9546666666666668,1.0280764988085629,6.194943399143868,6.301333333333332,85.76666666666667,-42.35533333333325,2.3220000000000005,4.6809674999999995,33,0,-54.623653411865234,-50.51000039050566,26.082134246826172,31.20357917794762
2023,2,2,13,,,,,,-3.9712412625348534,959.3333333333334,-0.6536666666666666,1.0825827116677926,6.199363779371165,6.036333333333332,85.13333333333333,-28.24266666666665,2.435666666666666,4.6809674999999995,33,0,-50.37369918823242,-50.96168664477779,26.076915740966797,32.78807508713176
2023,2,2,14,,,,,,-3.9708360190662546,960.0,-0.3846666666666666,1.0848720694686342,6.228872219083959,4.970666666666667,85.16666666666667,-14.54499999999996,2.4966666666666666,4.68844025,33,0,-37.119384765625,-33.61852363314648,19.69562530517578,31.215436216932027
2023,2,2,15,,,,,,-3.5528852731225955,960.0,0.0756666666666666,1.260061630347229,6.065878080973864,6.214333333333333,82.8,-16.43233333333336,2.52,4.6809674999999995,33,0,-52.414981842041016,-55.28688664755731,30.269332885742188,39.03189833387699
2023,2,2,16,,,,,,-3.7616580243601256,960.0,2.374333333333333,1.4765239445070495,5.691068019119406,6.541333333333333,79.39999999999999,-10.707333333333397,2.2143333333333333,4.6735197500000005,33,0,-55.4675178527832,-55.445393630081625,34.86564636230469,42.086181034219436
2023,2,2,17,,,,,,-3.5528852731225955,960.3333333333334,6.654,1.0676687738443498,5.675502429383126,6.323666666666665,84.16666666666667,-2.4903333333332967,1.3646666666666667,4.6735197500000005,33,0,-51.9406852722168,-54.47713224000301,36.75676727294922,40.72984729015664
2023,2,2,18,,,,,,-3.343055994270477,961.0,17.16333333333333,0.6597229119958836,5.872187107765358,4.898666666666667,89.90000000000002,7.137333333333402,0.924,4.710807,33,0,-30.53415870666504,-31.45849095044182,31.308326721191406,54.492740948819744
2023,2,2,19,,,,,,-3.970170261939255,961.0,19.143333333333334,0.4513512966918576,5.905709220094897,3.936,92.90000000000002,14.701333333333253,0.5496666666666666,4.70336,33,0,-15.73640251159668,-28.902898876536796,27.651031494140625,53.536787164669164
2023,2,2,20,,,,,,-3.551756380602889,961.3333333333334,28.203333333333337,0.3679044998263636,5.832733137696635,3.584333333333334,94.06666666666668,23.896666666666704,0.207,4.7148785,33,0,-9.526154518127441,-23.79466840509055,26.06378746032715,49.752397703111356
2023,2,2,21,,,,,,-3.552306353881738,962.0,40.35333333333333,0.3229108375421639,5.886912961345584,3.202666666666667,94.8,35.575000000000045,0.2273333333333333,4.710256,33,0,-1.778141736984253,-2.1806460220096167,24.460186004638672,25.997537995096273
2023,2,2,22,,,,,,-3.552407664748865,962.0,62.89666666666667,0.3019635417068507,5.988943577185869,3.2763333333333335,95.2,55.84599999999995,0.4056666666666667,4.705921,33,0,5.927219867706299,0.10703617343858411,28.65704917907715,24.925030447893647
2023,2,2,23,,,,,,-3.9707998366137143,962.0,47.05666666666667,0.288828276115491,5.990047291612569,3.693,95.4,41.238333333333344,0.3793333333333333,4.6979925,33,0,-2.338796854019165,-1.6743928636003664,35.724430084228516,25.683714232785142
2023,2,2,24,,,,,,-3.970785363632678,962.0,42.879999999999995,0.2651620097830083,5.901396357263708,3.3266666666666667,95.7,37.729666666666674,0.1313333333333333,4.72781775,33,0,0.20530138909816742,-2.305263098422253,33.39341735839844,26.961953301653516
2023,2,2,25,,,,,,-3.761629078398078,963.0,44.830000000000005,0.2524423138722609,5.904687292768278,3.5500000000000003,95.90000000000002,39.338666666666654,0.1103333333333333,4.73526325,33,0,-0.09244092553853989,-1.3845050660016787,39.39128875732422,25.73314652722193
2023,2,2,26,,,,,,-3.970785363632678,963.0,59.25333333333333,0.2461323897369185,5.856323554153606,3.189,95.96666666666664,51.721,-0.012,4.72781775,33,0,8.947616577148438,0.020861644405940547,37.8560676574707,25.13005269263476
2023,2,2,27,,,,,,-4.179977831319844,963.0,67.01,0.2302181790364121,5.936340188010304,2.8083333333333336,96.26666666666664,59.48433333333327,0.1313333333333333,4.7352662500000005,33,0,14.272550582885742,1.3416586666318464,32.876365661621094,24.549441646564457
2023,2,2,28,,,,,,-4.598760773672243,963.0,76.04333333333334,0.2350064019807023,6.116517975876113,3.580333333333334,96.3,67.77133333333336,0.5376666666666666,4.7203435,33,0,11.147452354431152,3.8787730924964476,43.186973571777344,26.870480888865863
