year,month,day,30min,H_orig,LE_orig,CO2,Ustar,NEE_orig,soilHeatflux,airPressure,incomingShortwaveRadiation,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,netRadiation,airTemperature,soilTemperature,day_of_year,artificial_gap,H_f_mlp,H_f_rf,LE_f_mlp,LE_f_rf
2023,2,24,7,,,,0.1658599999999999,,-5.149,982.5816666666666,-0.4546666666666666,0.2778722047903565,7.351787454472587,0.7786666666666667,96.358,-16.840666666666667,3.0903333333333336,7.972222222222222,55,0,0.7039666771888733,-3.28773571352313,1.6651887893676758,3.0109928675732065
2023,2,24,8,,,,0.1944,,-5.596666666666667,982.263,-0.92,0.3241146019062775,7.2122658485574815,0.5033333333333334,95.69933333333334,-22.579333333333334,2.917333333333333,7.961111111111109,55,0,3.2376410961151123,-3.900931193159152,0.04453172907233238,3.039783618871784
2023,2,24,9,,,,0.1175799999999999,,-6.085,981.8146666666668,-0.9813333333333332,0.1902079133049259,7.20224888051265,0.3263333333333333,97.427,-17.325666666666667,2.646666666666667,7.961111111111112,55,0,4.804734230041504,-3.985495313483615,-1.1295065879821777,3.1826257214301408
2023,2,24,10,,,,0.11284,,-6.265,981.8036666666668,-0.4983333333333333,0.1023886642157636,7.269005447790205,0.9146666666666666,98.611,-17.514666666666667,2.606666666666667,7.951222222222224,55,0,0.9550900459289551,-4.571176059192527,1.932492733001709,3.787356649777665
2023,2,24,11,,,,0.13591,,-6.639,981.5743333333334,-0.466,0.2608755097166497,7.116130137846224,0.5876666666666667,96.46366666666664,-15.234000000000002,2.6173333333333333,7.932222222222222,55,0,3.6010971069335938,-2.9524790588506074,0.507105827331543,2.7930368620716086
2023,2,24,12,,,,0.066959,,-6.795000000000001,981.2026666666668,-0.2903333333333333,0.3001726279114338,7.069643917913117,0.8853333333333334,95.927,-16.05,2.603666666666667,7.934444444444445,55,0,1.2539688348770142,-3.310960780468653,2.227349281311035,2.191905552187489
2023,2,24,13,-4.83052,12.251,,0.18308,,-6.882000000000001,980.8506666666666,-0.2196666666666666,0.3559020535198804,7.012161990090934,1.491,95.16966666666669,-17.067333333333334,2.600333333333334,7.9255555555555555,55,0,-4.83052,-4.83052,12.251,12.251
2023,2,24,14,-3.7011,9.3066,408.81,0.15631,1.3464,-7.390000000000001,980.6226666666666,2.3993333333333333,0.2833940396217151,7.038188106995132,1.3663333333333334,96.12933333333336,-14.856666666666667,2.5116666666666667,7.91,55,0,-3.7011,-3.7011,9.3066,9.3066
2023,2,24,15,-2.8620400000000004,11.606,412.49,0.19666,1.1244,-7.637666666666667,980.4466666666666,6.587,0.2715745850779099,7.007944314437181,1.7966666666666666,96.26933333333334,-14.829,2.4310000000000005,7.902444444444444,55,0,-2.8620400000000004,-2.8620400000000004,11.606,11.606
2023,2,24,16,-0.92845,12.487,408.13,0.23715,-1.0033,-8.036,980.223,27.015666666666664,0.4083808097068155,6.7835324812849525,2.008666666666667,94.32166666666669,-11.556333333333331,2.2616666666666667,7.880888888888889,55,0,-0.92845,-0.92845,12.487,12.487
2023,2,24,17,1.49179,16.955,404.19,0.22675,-0.1239599999999999,-8.210666666666667,979.9066666666668,27.135666666666665,0.4483690767102688,6.7497217357840125,1.876,93.771,-4.668333333333334,2.2736666666666667,7.856777777777776,55,0,1.49179,1.49179,16.955,16.955
2023,2,24,18,6.0464400000000005,29.846,,0.23176,,-8.052999999999999,979.3033333333332,63.812666666666665,0.5692092943135112,6.756207388542362,1.9333333333333331,92.22966666666666,20.654,2.519,7.847777777777778,55,0,6.0464400000000005,6.0464400000000005,29.846,29.846
2023,2,24,19,7.331160000000001,31.403,406.13,0.28415,-0.96571,-7.267,978.7823333333332,85.29166666666667,0.8182669180749578,6.721510568947809,2.4730000000000003,89.14733333333334,35.794333333333334,2.923666666666666,7.828777777777778,55,0,7.331160000000001,7.331160000000001,31.403,31.403
2023,2,24,20,7.07947,41.222,406.46,0.41911,-1.9566,-6.712,978.312,96.33766666666666,1.1037077986757593,6.490786102623067,3.3113333333333337,85.46699999999998,37.602333333333334,3.0253333333333337,7.809111111111111,55,0,7.07947,7.07947,41.222,41.222
2023,2,24,21,,,,0.45226,,-7.008666666666667,978.0936666666666,92.41899999999998,1.5331149157477375,6.048430863932819,4.127,79.77833333333332,43.309666666666665,3.001333333333333,7.798888888888889,55,0,2.167595624923706,-8.307485646065944,45.9584846496582,46.452908660928216
2023,2,24,22,-2.70553,33.927,,0.30232,,-8.089333333333334,977.847,45.37266666666667,1.470415067306404,5.978999283408288,2.625,80.26133333333333,15.937333333333331,2.7543333333333333,7.777888888888888,55,0,-2.70553,-2.70553,33.927,33.927
2023,2,24,23,5.98945,37.388000000000005,405.87,0.39333,-0.32379,-8.609,977.4413333333332,55.355,1.2957248146583762,6.0918126135508395,3.3953333333333333,82.46066666666665,2.628666666666668,2.6373333333333333,7.765444444444444,55,0,5.98945,5.98945,37.388000000000005,37.388000000000005
2023,2,24,24,9.33999,45.898999999999994,,0.38628,,-9.093,976.9093333333334,78.65333333333332,0.6587378852084633,6.417363717575083,3.0516666666666663,90.69066666666669,5.421333333333334,2.035,7.74811111111111,55,0,9.33999,9.33999,45.898999999999994,45.898999999999994
2023,2,24,25,16.1201,54.447,,0.26039,,-8.702666666666667,976.281,79.526,0.3190066411888228,6.6507692204852695,2.1456666666666666,95.423,18.469333333333335,1.824,7.744222222222223,55,0,16.1201,16.1201,54.447,54.447
2023,2,24,26,10.60293,31.225,422.61,0.30254,-2.4613,-8.075999999999999,975.7123333333332,62.959,0.267145773514045,6.667502669352916,2.1313333333333335,96.14766666666668,10.727666666666666,1.7536666666666667,7.722222222222222,55,0,10.60293,10.60293,31.225,31.225
2023,2,24,27,6.15843,39.342,,0.22324,,-7.944666666666667,975.2953333333334,39.33,0.2777518147746383,6.636657315786441,1.8243333333333336,95.983,-3.7733333333333334,1.713,7.712111111111111,55,0,6.15843,6.15843,39.342,39.342
2023,2,24,28,,,,0.25566,,-8.316333333333334,974.8076666666668,22.411,0.1594560903190549,6.596203717012712,1.3886666666666667,97.63966666666666,-20.613666666666663,1.3903333333333332,7.698888888888889,55,0,-0.7493442296981812,-8.271052219440733,17.342233657836914,11.333197896320323
2023,2,24,29,,,,0.21206,,-9.12,974.2696666666666,27.528999999999996,0.0434532426349587,6.590629602396731,1.6840000000000002,99.34499999999998,-12.026000000000002,1.1386666666666667,7.676888888888889,55,0,-1.0523518323898315,-8.312561454970982,21.475433349609375,14.13338972766023
2023,2,24,30,,,,0.14965,,-9.794333333333334,973.9683333333332,22.221,0.0024167278684439,6.588659276978984,1.6146666666666667,99.96333333333332,-16.93733333333333,1.0486666666666666,7.676666666666666,55,0,-2.0746450424194336,-8.630164655005759,19.880678176879883,12.96668428138694
2023,2,24,31,,,,0.16425,,-10.572666666666665,973.7256666666668,12.287666666666668,0.0,6.55748027984777,1.4926666666666666,100.0,-34.72566666666667,0.978,7.665555555555556,55,0,-3.829073905944824,-9.026937621429665,17.126432418823242,11.19293113572912
2023,2,24,32,,,,0.20142,,-11.367,973.3586666666666,10.935333333333332,0.0,6.548947062820488,1.287,100.0,-4.897666666666667,0.96,7.649333333333334,55,0,-3.3855605125427246,-7.157641429641017,14.679316520690918,6.139502905265085
2023,2,24,33,,,,0.14964,,-11.042666666666667,973.0133333333332,6.541333333333333,0.0,6.646713059756527,1.066,100.0,-6.450333333333333,1.165,7.6368888888888895,55,0,-4.219063758850098,-6.719051480579203,11.739455223083496,6.696558837771523
2023,2,24,34,,,,0.11272,,-10.18,972.7496666666666,5.721,0.0,6.844145429135236,1.226,100.0,-8.569,1.571,7.612111111111112,55,0,-5.8275861740112305,-8.620900837339619,12.718179702758789,9.287843445448255
2023,2,24,35,,,,0.10959,,-9.492666666666668,972.3713333333334,0.7199999999999999,0.0,7.048080927382383,1.3216666666666663,100.0,-13.016999999999998,1.979666666666667,7.595777777777777,55,0,-7.77874755859375,-10.689149877997501,12.948697090148926,12.535384268232026
2023,2,24,36,,,,0.12118,,-8.898333333333335,972.1753333333332,-0.6256666666666666,0.0112957811265106,7.1530474280764755,1.163333333333333,99.84233333333331,-13.744,2.2079999999999997,7.575555555555556,55,0,-7.626382350921631,-8.442923393490345,11.314410209655762,7.270209477638901
2023,2,24,37,,,,0.10202,,-8.508000000000001,972.111,-0.6543333333333333,0.0392625824688046,7.200303945276254,1.0506666666666666,99.45766666666668,-13.538000000000002,2.3539999999999996,7.561111111111113,55,0,-7.279010772705078,-8.613425006400606,10.331720352172852,7.215870212199559
2023,2,24,38,,,,0.1822,,-8.267,971.9516666666668,-0.5936666666666667,0.0484008605611325,7.311081231856337,1.499,99.34233333333331,-14.643333333333333,2.584,7.544555555555555,55,0,-10.458178520202637,-10.919903055038628,13.681543350219727,11.931668638624764
2023,2,24,39,,,,0.14475,,-8.055333333333332,971.6326666666668,-0.6536666666666667,0.0810450483559721,7.342928846847692,1.0316666666666665,98.90833333333336,-12.473333333333334,2.7063333333333333,7.525555555555556,55,0,-7.881795883178711,-8.807352657934565,9.985749244689941,7.416692315646477
2023,2,24,40,,,,0.19038,,-7.739,971.462,-0.7943333333333333,0.0543503459597447,7.3638042436322575,1.6483333333333334,99.26733333333333,-17.08566666666667,2.6953333333333336,7.512333333333333,55,0,-12.132685661315918,-11.375147546908597,14.677547454833984,12.346634274921733
2023,2,24,41,,,,0.21406,,-7.888999999999999,971.4926666666668,-0.5253333333333333,0.0109536160844383,7.324057154745178,1.8203333333333336,99.85066666666668,-14.336666666666666,2.537333333333333,7.487777777777777,55,0,-13.32785701751709,-12.296916201046024,16.46393394470215,14.579859978483944
2023,2,24,42,,,,0.24211,,-7.900666666666666,971.646,-0.7493333333333334,0.0083641746731517,7.459648926354765,2.0433333333333334,99.888,-18.259,2.7893333333333334,7.465555555555554,55,0,-15.327706336975098,-15.973480061900537,18.837718963623047,26.685731644809742
