TIMESTAMP,H_f,LE_f,ET_f,NEE_f,Reco,GPP_f
-,Wm-2,Wm-2,mm,umolm-2s-1,umolm-2s-1,umolm-2s-1
2024-04-01,-11.328797916666666,19.615525825,0.6837803495113473,2.416552827083333,3.4901143750000005,1.0735643958333332
2024-04-02,-6.048985416666667,41.26709844791666,1.4401472915330322,-2.13088649375,3.614580624999998,5.745447166666666
2024-04-03,-5.013127708333333,27.907700177083342,0.9737380774065736,-1.1946171083333335,3.7566960416666664,4.951285416666667
2024-04-04,-11.95443958333333,41.33513562291666,1.444491584517032,-1.5095237562500003,3.857745625,5.3672606249999975
2024-04-05,-19.107837500000002,36.351912079166674,1.2755365671102703,-1.3116067041666666,4.202380416666666,5.513980833333332
2024-04-06,-9.661560416666669,62.9573847,2.220056836671911,-2.9524726708333318,4.723315416666665,7.675778708333332
2024-04-07,-22.257756249999996,56.40106232083335,1.9884587994156353,-2.491309052083332,4.781365416666666,7.272682383333333
2024-04-08,-5.523004166666666,73.70107648541668,2.598777254404981,-4.06548083125,4.721908750000002,8.787370937500002
2024-04-09,-18.06490416666667,38.42299711875,1.3460151000056535,0.12870026041666674,4.173639166666667,4.0449254166666675
2024-04-10,1.6652354166666683,36.21048305208334,1.2639704555045155,-2.4754080958333335,3.5939110416666664,6.0693540000000015
2024-04-11,0.37420208333333277,55.86908786458332,1.953756287132684,-5.384993656250001,3.887418958333333,9.272391458333335
2024-04-12,2.4591124999999967,47.80513664375,1.6776040835821497,-2.6122347666666674,4.462002916666665,7.074263958333332
2024-04-13,-6.287822708333333,60.44938681041668,2.128131883442901,-4.233523077083333,4.772190208333332,9.005730999999999
2024-04-14,-5.41692083333333,55.24477912083333,1.9361258787317837,-2.5159999729166658,4.130444374999999,6.646483670833334
2024-04-15,12.907449999999999,71.03494878541667,2.4820435127578975,-4.767658908333334,3.3392089583333333,8.106863624999999
2024-04-16,14.022452083333334,49.980841762500006,1.7373359320769561,-3.8802994812500007,2.8700166666666678,6.750308541666669
2024-04-17,14.814714583333334,46.792372472916675,1.6275108486919416,-3.0812711708333347,2.757845,5.8391407499999985
2024-04-18,18.356391666666664,63.217238093750005,2.2008954472637914,-4.012686252083332,2.8250531249999997,6.8377254166666654
2024-04-19,-13.420587500000003,34.491782225,1.19766710484282,0.18628433125000018,2.6224870833333327,2.436200229166666
2024-04-20,25.001747916666663,57.408992033333355,1.9978341873338674,-4.304609706250001,2.7065325,7.01113375
2024-04-21,16.77268333333333,50.488017270833325,1.7531345543559451,-3.473469264583333,2.537050208333333,6.0105281249999996
2024-04-22,30.705570833333343,47.4514444354167,1.6463944686230993,-2.7233329145833327,2.2960816666666664,5.019393541666667
2024-04-23,27.82773125,53.29327305625002,1.8504992209868536,-3.169689222916666,2.439801666666667,5.609493937500003
2024-04-24,21.94246666666667,39.78597265833333,1.3823959747269268,-3.4382951312499994,2.7346218750000006,6.1729266666666645
2024-04-25,8.148040416666666,60.12643864375,2.0877614672953104,-2.2706591,2.8272416666666658,5.0978747916666665
2024-04-26,14.177295833333341,51.59487260625003,1.8018954338533655,-1.1146423791666662,3.6855556250000023,4.800194720833333
2024-04-27,22.144347916666664,52.83249905208333,1.8520105153577275,-1.8351043270833338,4.31605875,6.151157125000002
2024-04-28,4.370452083333334,53.124839135416664,1.867077141203184,-1.6939800541666674,4.9790543750000005,6.673023958333332
2024-04-29,25.928533333333334,62.01511157291667,2.1796874692677655,-1.3964020750000001,5.155271458333333,6.551672520833331
2024-04-30,14.51292083333333,64.12605452499997,2.2618568992917942,-0.7763017270833331,5.967957500000002,6.744228839583335
2024-05-01,3.746154166666672,78.51508491666665,2.771556982354106,-1.0890212229166667,6.528939583333333,7.617988312499999
2024-05-02,9.50639583333333,74.57611792499999,2.629817750934362,0.052612383333333755,6.6002529166666655,6.547658333333331
2024-05-03,-3.388597916666667,25.418934783333338,0.8896958244944668,1.974744933333333,5.522546666666667,3.547799020833335
2024-05-04,2.6091375000000014,34.97753600625,1.2256594101845688,-0.8406252187500001,5.529766249999999,6.370418124999998
2024-05-05,22.864583333333343,65.95475313541665,2.3130705769937694,-2.377711864583333,5.582634374999999,7.960340041666668
2024-05-06,9.769327083333337,37.9439464875,1.330813162052657,-0.6337162104166667,5.354692291666667,5.988456916666665
2024-05-07,4.822986875000001,35.05819379583333,1.2278127146785114,-0.9228767166666666,5.005133541666667,5.927980395833335
2024-05-08,35.13160479166666,75.27910268125002,2.6426758621680597,-2.7375294500000007,4.973253541666666,7.710772854166668
2024-05-09,30.134008333333327,69.25014676666667,2.434519200158629,-1.6903225020833323,4.960876458333334,6.651185885416665
2024-05-10,25.64363312499999,76.13938214375001,2.680501438158717,-3.2357060145833336,5.24792375,8.483655270833331
2024-05-11,23.966645833333335,59.55128926041667,2.0965592236285175,-3.320218654166666,5.401283749999998,8.721473687499998
2024-05-12,31.01708541666667,74.00823480833336,2.6049291613490184,-2.4243375541666663,5.562880208333335,7.987169354166667
2024-05-13,14.253295833333333,82.40214370833336,2.909045721236744,-1.6877410500000005,6.178286249999999,7.8660155
2024-05-14,15.039208541666667,87.00494303958332,3.070656569344316,-1.2853445958333338,6.3320066666666674,7.617335058333333
2024-05-15,3.5807895833333347,86.25202379166667,3.043415516658607,-1.8459787458333332,6.785833958333331,8.631851854166664
2024-05-16,-3.4057999999999975,43.019697491666655,1.5118329402820743,1.0309088916666667,6.464169583333335,5.433247833333334
2024-05-17,13.492789583333328,68.37866235833333,2.4054339472954105,0.1210008000000005,6.891341875000001,6.770320145833334
