year,month,day,30min,location,soilHeatflux,airPressure,incomingShortwaveRadiation,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,netRadiation
2023,1,1,0,0,5.301666666666667,984.3250000000002,-3.6950000000000003,6.8263096330996635,9.721517461585838,2.9800000000000004,58.748,-50.291333333333334
2023,1,1,1,0,5.039000000000001,984.4933333333333,-4.819,6.66706449616149,9.63302962188039,3.113,59.09799999999999,-66.873
2023,1,1,2,0,4.445333333333334,984.5366666666665,-4.449333333333334,6.56890301129787,9.598581900544357,2.817,59.36966666666667,-59.07166666666666
2023,1,1,3,0,4.114000000000001,984.5006666666665,-3.7129999999999996,6.618654549203933,9.577867015972013,2.7376666666666662,59.135333333333335,-47.43666666666667
2023,1,1,4,0,3.895,984.5186666666667,-4.892,6.4079771793165445,9.491264029464817,2.594666666666667,59.696333333333335,-65.38466666666666
2023,1,1,5,0,3.276666666666667,984.6563333333334,-4.967666666666667,6.42703814444025,9.378060863962487,2.736,59.33566666666667,-66.37366666666667
2023,1,1,6,0,2.8493333333333335,984.6296666666667,-5.005,6.132339137779123,9.370329955789064,2.5826666666666664,60.44333333333333,-68.40766666666667
2023,1,1,7,0,2.392666666666667,984.7309999999999,-4.763,5.893290410142024,9.375751753125705,2.1246666666666667,61.40366666666666,-59.540666666666674
2023,1,1,8,0,2.2870000000000004,985.016,-2.012333333333333,6.055219887096724,9.48759051828524,2.7993333333333332,61.041666666666664,-23.474333333333334
2023,1,1,9,0,3.092,985.0466666666666,-3.0076666666666667,6.213150630955587,9.439074160467985,3.171333333333333,60.305,-39.929
2023,1,1,10,0,3.4323333333333337,985.0286666666666,-2.999,5.832293205615416,9.554178018175648,2.877333333333333,62.09466666666666,-38.010666666666665
2023,1,1,11,0,3.455666666666667,985.1763333333333,-4.050666666666667,5.500653165800019,9.618092308185133,2.864333333333333,63.617,-55.001666666666665
2023,1,1,12,0,3.046666666666667,985.4746666666666,-4.245666666666668,5.108115399118562,9.746671000156054,2.9943333333333335,65.613,-59.762
2023,1,1,13,0,2.780666666666667,985.6706666666668,-3.423,4.859146186972177,9.88564576257168,2.794,67.045,-46.15966666666666
2023,1,1,14,0,2.858,985.8086666666667,-2.747,4.669081616232836,9.998497651080102,2.764333333333333,68.16733333333333,-34.971000000000004
2023,1,1,15,0,3.2266666666666666,986.085,-2.046,4.7766150259651585,10.032145362906421,3.058,67.74466666666666,-26.441666666666666
2023,1,1,16,0,3.7276666666666665,986.4253333333332,-0.0713333333333334,4.731716614745288,10.0958280076351,2.9499999999999997,68.08833333333334,-23.211
2023,1,1,17,0,4.072666666666667,986.9989999999999,4.991,4.622162255122262,10.16039988613845,2.737666666666667,68.73233333333333,-17.035999999999998
2023,1,1,18,0,4.377666666666666,987.5003333333334,31.334666666666667,4.6093000818801,10.228617192636555,2.7923333333333336,68.93566666666668,-2.2296666666666667
2023,1,1,19,0,5.240333333333333,987.46,113.18966666666667,5.083438214476793,10.360700368165746,2.7150000000000003,67.085,37.70733333333334
2023,1,1,20,0,6.773333333333333,987.8406666666666,57.953333333333326,5.100609189239819,10.391617848776864,2.5653333333333332,67.07633333333334,19.001
2023,1,1,21,0,7.089666666666666,988.3650000000001,28.476333333333333,5.009084878901977,10.313903432208388,2.987,67.31,2.637
2023,1,1,22,0,6.9396666666666675,988.3956666666667,25.679666666666666,5.021536358062507,10.291449344215966,2.5893333333333337,67.20733333333332,3.964666666666666
2023,1,1,23,0,6.761,988.4266666666666,26.524333333333335,4.822340350157971,10.349885770399446,2.437,68.216,4.71
2023,1,1,24,0,6.852666666666667,988.274,52.678,4.950374658301687,10.421709239913902,3.0753333333333335,67.79633333333334,20.752
2023,1,1,25,0,7.358999999999999,988.3000000000001,49.028999999999996,4.8536395335819975,10.497720600466135,2.3706666666666667,68.383,18.221666666666664
2023,1,1,26,0,7.5,988.1653333333334,35.72966666666667,4.784745172484353,10.519909393517423,2.3566666666666665,68.73666666666668,8.598333333333334
2023,1,1,27,0,7.266333333333333,988.5283333333333,22.834999999999997,4.7323762886111975,10.534338623999934,1.848,69.00200000000001,0.19466666666666663
2023,1,1,28,0,6.828666666666667,988.6706666666668,23.640666666666664,4.7895311879324804,10.491817322386305,2.122333333333333,68.65766666666667,0.027999999999999876
2023,1,1,29,0,6.685666666666666,988.6539999999999,32.99,4.746264214718192,10.53042681821378,2.045666666666667,68.93133333333333,5.6226666666666665
2023,1,1,30,0,6.6499999999999995,988.8683333333333,18.209,4.620771162545168,10.535261251995525,2.03,69.512,-3.525
2023,1,1,31,0,6.366333333333333,989.1139999999999,8.534,4.491898416194786,10.532178164829979,1.9153333333333336,70.10199999999999,-9.480333333333332
2023,1,1,32,0,5.885000000000001,989.2696666666666,0.5276666666666666,4.40073161696057,10.50639082794499,1.7149999999999999,70.479,-13.953333333333333
2023,1,1,33,0,5.3629999999999995,989.3373333333334,-1.527,4.235308781568756,10.503035197907257,1.346,71.26333333333334,-14.203333333333333
2023,1,1,34,0,4.806333333333334,989.4253333333332,-1.527,4.181553247008699,10.477361813143096,1.1716666666666666,71.47433333333333,-12.737666666666668
2023,1,1,35,0,4.332999999999999,989.3583333333332,-1.5039999999999998,4.222856616751955,10.452749066784325,1.0476666666666665,71.22533333333332,-11.157000000000002
2023,1,1,36,0,3.9629999999999996,989.283,-1.3773333333333333,4.240829911896151,10.433491286374244,1.192,71.10033333333332,-10.327666666666666
2023,1,1,37,0,3.7066666666666666,989.3589999999999,-1.4736666666666667,4.022624834060704,10.531712690882744,1.2796666666666667,72.36133333333333,-10.216333333333333
