30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,year,H_orig,LE_orig
24,17.372666666666667,150,908.7553333333334,0,2023,156.026,113.03
29,17.136666666666667,168,323.93333333333334,1,2024,45.96751,86.681
7,12.485,149,-1.034,0,2024,-10.19266,16.968
7,13.566666666666665,145,-2.252666666666667,1,2024,-23.94274,8.7215
24,16.299999999999997,212,372.1,1,2023,85.98491,106.78
31,20.452,149,642.2446666666666,0,2023,97.19744,116.61
27,20.77,209,650.8,1,2023,169.4854,192.21
19,2.5133333333333336,59,364.5916666666667,0,2023,70.56967,42.18600000000001
28,13.565,136,377.142,0,2023,64.75307,106.19
47,2.0559999999999996,108,-0.2599999999999999,1,2024,-6.027480000000001,31.311
41,18.493333333333332,209,-0.896,1,2023,-27.60117,4.112
47,11.553333333333336,198,-2.224,1,2023,-36.25121,10.458
41,13.12,145,-0.6243333333333333,1,2024,-12.92382,16.247
32,21.28,166,550.9333333333333,1,2023,137.626,123.47
28,16.504,105,419.19699999999995,0,2024,39.08062,140.32
36,21.453666666666663,187,192.515,0,2023,-22.07456,83.464
17,2.689,111,243.13333333333333,1,2024,58.43335,45.251000000000005
18,25.28,179,642.1666666666666,1,2024,182.4769,138.61
10,13.11,133,29.80333333333333,1,2023,-21.15082,3.5387
6,11.72,138,-0.9516666666666668,1,2024,-66.17995,47.593
24,16.266666666666666,137,257.23333333333335,1,2024,52.78783000000001,77.327
31,4.0793333333333335,64,161.01833333333337,0,2023,18.44783,20.774
29,18.985333333333333,206,510.20433333333335,0,2023,67.26641,161.82
16,15.369333333333332,132,421.9836666666667,0,2024,75.38261,77.421
39,21.399666666666665,141,14.127333333333333,0,2023,-42.74341,20.843000000000004
1,4.763333333333333,76,-3.893666666666667,0,2023,-38.579240000000006,8.1261
16,8.402666666666667,138,483.852,0,2023,90.84332,81.673
16,17.82166666666667,209,146.12233333333333,0,2023,14.36104,42.647
6,10.366333333333332,96,-1.233,0,2024,-19.16127,9.5178
13,16.94,205,146.03333333333333,1,2023,-12.15284,43.925
12,14.077999999999998,124,35.06933333333333,0,2024,-4.13057,18.901
34,15.313333333333334,208,87.08666666666666,1,2023,-26.36438,38.375
3,11.753333333333332,133,-2.5206666666666666,1,2024,-37.20459,8.8055
16,11.12,105,115.6,1,2024,46.96778,13.413
26,21.606666666666666,134,788.8000000000001,1,2024,270.8267,158.37
43,13.953333333333331,129,-2.0829999999999997,1,2023,-48.50708,15.733
12,16.539,177,233.39733333333336,0,2024,25.95741,33.07
33,17.85166666666667,96,75.96,0,2024,-45.1979,62.79
7,13.38,184,-0.2626666666666666,1,2023,-31.51776,9.6988
34,22.683333333333337,159,345.5666666666666,1,2023,45.66388,120.07
3,10.573333333333332,161,-0.5606666666666666,1,2024,-2.51153,1.3168
0,15.226666666666668,175,-2.355333333333333,1,2023,-45.612359999999995,20.842
13,17.084,209,91.615,0,2023,3.4285400000000004,21.685
14,11.48,135,217.76666666666665,1,2023,6.12385,15.588
25,8.74,101,325.6666666666667,1,2024,111.9947,45.038
15,11.927,155,158.10133333333332,0,2024,14.27229,18.968
34,24.05,161,435.6666666666667,1,2023,183.8532,242.1
13,12.63,178,337.6666666666667,1,2023,65.65033000000001,47.355
43,16.278000000000002,133,-4.556,0,2024,-47.38437,16.273
13,16.933333333333334,160,302.8,1,2023,40.11274,63.716
38,24.622666666666664,177,63.36033333333334,0,2024,-13.74308,20.178
35,10.973666666666666,117,120.34666666666664,0,2023,-10.51278,29.461
23,7.614,115,322.89000000000004,0,2023,44.58665,121.27
1,1.437,116,-0.08,1,2024,-11.94253,1.9991
3,5.644666666666666,110,-2.1863333333333332,0,2024,-15.54685,10.525
9,12.843333333333334,168,52.51333333333334,1,2023,-40.841359999999995,10.363
43,12.653333333333334,145,-0.52,1,2024,-8.01437,7.7656
19,21.653,180,417.2676666666666,0,2023,44.55324,147.17
38,12.361333333333333,138,48.41233333333333,0,2023,-26.446340000000003,27.622
25,17.69,138,646.2666666666667,1,2024,237.3823,249.87
7,12.683333333333335,134,-2.2503333333333333,1,2024,-34.81907,0.99025
44,14.753333333333332,181,-2.668333333333333,1,2023,-49.35352,17.284000000000002
43,19.55333333333333,177,-2.611666666666667,1,2024,-89.56681,29.064
4,7.223,153,-0.4493333333333333,1,2023,1.10977,5.2678
0,13.989333333333336,130,-3.4086666666666665,0,2023,-33.992290000000004,20.988000000000003
17,15.806,141,214.93866666666668,0,2024,29.85393,52.287
11,17.216666666666665,178,166.6,1,2024,3.13662,27.971
47,15.816666666666668,204,-0.0916666666666666,1,2023,-93.6506,86.861
13,15.123333333333337,195,280.23333333333335,1,2023,37.27681,52.512
12,9.143,95,11.377333333333334,0,2024,-16.07304,24.821
38,16.174000000000003,140,44.09133333333333,0,2023,-15.90565,13.819
1,20.073666666666668,193,-2.279333333333333,0,2023,-40.45583,30.691
29,26.756333333333338,176,799.7636666666667,0,2024,96.57652,170.86
10,7.817,48,-0.511,0,2023,-16.54318,2.9546
6,3.615,117,-1.1503333333333334,1,2024,-35.43302,7.5511
22,16.593333333333334,168,624.4666666666667,1,2024,201.3836,126.61
34,27.85066666666667,188,410.0026666666667,0,2023,12.76744,110.8
35,20.343333333333337,155,289.8333333333333,1,2023,115.5482,57.574
7,12.856666666666667,153,0.142,1,2024,-10.05312,-22.183000000000003
30,25.833,205,516.5323333333333,0,2023,33.8799,204.82
23,17.145333333333337,127,426.3983333333333,0,2024,55.417190000000005,95.141
30,15.373333333333337,106,543.7073333333333,0,2024,64.77618000000001,177.33
36,8.832666666666666,107,80.66266666666667,0,2024,-3.7714,32.786
42,9.86,117,-0.935,1,2024,-5.57824,1.4455
46,10.15,155,-0.5303333333333334,1,2024,-14.99462,2.0614
27,26.786333333333335,172,453.875,0,2023,72.28605999999999,140.51
22,23.654,175,877.7856666666667,0,2023,127.0055,232.6
32,12.613333333333337,128,313.8333333333333,1,2024,118.1614,73.182
15,14.19,167,211.6,1,2023,40.5086,38.089
23,17.756666666666668,179,812.1333333333333,1,2023,205.9365,97.547
33,16.958666666666666,134,100.912,0,2023,-4.79712,22.776
34,7.137333333333333,75,55.034,0,2023,-16.351210000000002,25.746
33,22.407666666666668,165,521.4203333333334,0,2023,43.73356,69.072
39,23.703333333333333,181,36.76,1,2024,-51.57991,73.66199999999999
30,15.366666666666664,135,454.7,1,2023,158.3401,58.92
26,16.866666666666667,184,832.1666666666666,1,2023,227.6051,161.69
12,13.79,158,142.6,1,2023,-3.89029,54.728
2,11.996666666666668,133,-2.5993333333333335,1,2024,-49.82102,11.772
25,12.26,102,375.7,1,2024,157.2226,46.909
3,13.693333333333332,132,-2.334,1,2024,-57.2439,2.4058
17,13.99,132,535.4333333333333,1,2023,115.8224,77.10300000000001
25,17.76,146,517.2666666666668,1,2024,127.7912,107.4
32,19.481666666666666,124,497.88266666666664,0,2023,41.34512,103.49
17,5.310333333333333,114,560.0243333333333,0,2024,123.4231,88.23100000000001
18,16.648,132,536.119,0,2024,80.06461,85.48299999999999
1,7.44,94,-0.9286666666666666,1,2024,-31.008370000000003,15.349
21,19.860000000000003,204,508.43333333333334,1,2023,99.05222,192.03
18,28.449333333333332,179,658.341,0,2024,75.71119,126.26
28,9.583333333333334,137,640.1666666666666,1,2023,264.5038,63.863
21,9.765,127,143.46833333333333,0,2023,18.917679999999997,30.794
25,24.44633333333333,180,452.57666666666665,0,2023,90.99182,142.4
16,16.043333333333333,193,512.6,1,2023,52.565169999999995,164.47
39,11.406666666666666,130,6.165,1,2023,-14.51006,8.6534
21,20.992,131,758.5733333333334,0,2024,129.289,211.89
6,11.461333333333334,77,-1.101333333333333,0,2023,-23.56216,12.782
4,4.990666666666667,76,-3.4713333333333334,0,2023,-24.87799,6.3762
20,19.256,144,580.7379999999999,0,2024,73.68172,128.33
13,16.086666666666666,163,313.6333333333333,1,2023,37.02041,41.913
12,8.308,145,191.13333333333333,1,2023,58.10426999999999,93.709
5,14.01,157,-1.8866666666666667,1,2024,-57.19021,10.588
41,16.543333333333333,133,-4.677666666666667,0,2024,-52.62273,19.203
33,19.703333333333333,179,316.2,1,2023,33.7682,75.101
32,15.423666666666668,155,285.4356666666667,0,2024,37.24833,103.23
47,14.743333333333334,133,-1.8263333333333336,1,2024,-51.90953,9.0115
23,19.888,138,457.5056666666667,0,2024,48.72252,123.64
8,11.079999999999998,140,2.145,1,2024,-24.22306,11.192
11,16.626666666666665,161,152.4333333333333,1,2023,-7.90061,24.826
1,15.64,154,-0.4543333333333333,1,2024,-22.42057,21.726
32,31.753333333333337,189,603.3416666666667,0,2023,25.9579,161.35
38,10.873333333333331,138,56.89666666666667,1,2023,-15.23903,35.846
17,22.926666666666662,189,606.6,1,2023,113.8843,100.31
20,17.386666666666667,194,556.7,1,2023,137.9094,137.07
36,20.00333333333333,148,195.26666666666665,1,2023,24.34467,45.764
41,9.736666666666666,164,0.0863333333333333,1,2024,-34.6874,35.273
24,23.386666666666667,181,832.7666666666668,1,2024,202.233,192.61
42,4.934666666666668,50,-1.0716666666666663,0,2023,-1.25581,-5.2308
24,17.526666666666667,185,829.6333333333333,1,2023,235.666,140.98
8,8.856666666666667,125,-0.6286666666666667,1,2024,-4.18426,1.3788
32,13.113333333333332,163,375.73333333333335,1,2024,165.5085,76.11
36,26.211333333333332,170,244.67099999999996,0,2023,22.15507,41.131
37,17.07,120,55.61000000000001,1,2024,-15.8269,7.0839
30,21.083333333333332,180,705.3000000000001,1,2024,205.2634,209.07
2,8.443333333333333,146,-2.0026666666666664,1,2023,-55.8226,-2.1037
15,12.730666666666666,139,489.14833333333337,0,2023,74.92104,100.4
27,19.716,161,905.093,0,2024,122.6241,237.35
13,4.893,51,-2.5743333333333336,0,2023,-28.05889,9.5818
28,20.83666666666667,151,780.3333333333334,1,2023,279.9413,136.8
0,13.203333333333331,119,-2.6039999999999996,1,2024,-60.7459,8.2778
3,20.406666666666663,177,-2.302666666666666,1,2023,-13.42106,2.6617
45,7.292000000000001,79,-0.7843333333333332,0,2023,-6.67276,10.486
25,17.89166666666667,128,871.2366666666667,0,2023,131.024,190.41
13,18.10666666666667,180,172.23333333333335,1,2024,24.25584,48.166
29,22.45,163,760.3333333333334,1,2023,229.5399,134.64
0,13.725,168,-1.7846666666666666,0,2024,-43.91397,33.427
19,20.393333333333334,142,787.6666666666666,1,2023,260.1171,135.08
34,14.326666666666668,140,293.8666666666666,1,2023,89.25616,35.512
6,12.11,146,-0.4296666666666666,1,2024,-1.94666,-1.5869
12,16.114333333333335,100,19.888,0,2024,-11.16808,8.1707
22,13.473333333333334,201,489.3666666666666,1,2023,34.89237,166.8
30,28.227333333333338,171,712.9586666666668,0,2023,123.6774,206.0
35,13.9,134,52.84666666666667,1,2023,-16.30856,49.218
45,15.193333333333332,159,-2.859,1,2024,-1.73613,0.58089
21,22.49266666666667,135,854.8493333333332,0,2024,141.6423,222.01
17,18.72,181,632.5666666666666,1,2024,185.2737,123.07
10,16.57,162,90.59333333333336,1,2023,-27.58948,35.14
18,14.252333333333333,124,75.533,0,2024,2.48343,26.981
30,20.775333333333332,120,714.292,0,2024,92.29544,151.58
39,21.323333333333338,99,-2.290666666666666,1,2024,-13.74284,4.5717
44,12.023333333333332,133,-2.62,1,2023,-50.28133,11.764
30,17.644000000000002,130,305.42066666666665,0,2023,43.74082,110.31
23,2.6373333333333333,55,55.355,0,2023,5.98945,37.388000000000005
47,13.486666666666666,178,-2.311,1,2023,-35.15412,0.1280599999999999
43,17.113333333333333,148,-2.665,1,2023,-60.85702,8.1377
2,12.14,155,-2.959666666666667,1,2023,-47.32374,5.2187
19,14.753333333333332,202,618.1,1,2023,113.0711,173.77
47,18.78333333333333,160,-3.114666666666667,1,2023,-43.40324,-30.19
36,11.973333333333334,131,39.67333333333333,1,2023,-13.3549,30.786
16,14.043333333333337,155,569.0333333333334,1,2023,170.58700000000002,95.411
23,25.871999999999996,188,906.574,0,2023,108.4546,250.95
30,22.745666666666665,179,649.5770000000001,0,2023,88.44258,148.16
3,0.7016666666666667,66,-2.1486666666666667,0,2023,-18.57912,21.337
17,15.566,132,419.718,0,2024,69.30093000000001,74.093
19,22.06566666666667,197,741.9603333333334,0,2023,105.0587,228.45
1,14.419333333333332,97,-2.392,0,2024,-25.43716,6.8651
34,24.01,162,404.3333333333333,1,2023,86.40275,123.61
31,20.98,98,340.90000000000003,1,2024,117.5754,28.014
40,2.746,63,-1.895,0,2023,-7.704289999999999,14.957
0,8.601,94,-0.86,0,2024,-16.37846,12.78
24,17.88,129,798.7000000000002,1,2023,316.0511,101.78
38,20.88,168,87.77999999999999,1,2023,-7.576569999999999,12.404000000000002
11,19.883333333333333,196,146.66666666666666,1,2023,-31.77252,27.883000000000003
24,24.008,175,720.5123333333332,0,2023,109.6661,142.48
28,12.256666666666668,138,620.0,1,2023,270.7407,70.149
38,12.143333333333333,125,21.083333333333332,1,2024,-28.01567,6.0292
42,18.814,122,-4.596666666666667,0,2024,-58.42552,29.064
20,20.43433333333333,148,810.5353333333333,0,2023,95.0174,149.89
3,10.886666666666668,131,-0.4399999999999999,1,2023,-4.31758,-3.1853
5,12.176666666666668,119,-2.0556666666666668,1,2024,-36.67344,9.6776
17,16.653333333333332,99,405.6333333333334,1,2024,77.41537,44.773
24,16.503333333333334,149,890.3333333333334,1,2023,256.3353,91.178
10,13.296666666666669,169,40.03666666666667,1,2024,-13.06953,7.9461
