30min,airTemperature,day,incomingShortwaveRadiation,location,month,soilHeatflux,waterPressureDeficit,year,H_orig,LE_orig
19,18.74833333333333,12,739.8863333333334,0,5,42.346666666666664,9.254139233735051,2024,106.1496,159.42
2,11.62,18,-2.327666666666667,1,7,-42.184904338184886,1.999555959923544,2023,-61.52758000000001,23.111
34,9.486666666666666,12,105.1,1,6,0.8085434295179038,3.1390614919573743,2024,-63.78796,96.386
21,27.733,26,833.4683333333332,0,6,101.25133333333332,17.197348698800884,2024,96.19511,163.97
14,18.798,7,122.29933333333334,0,4,1.3916666666666666,11.788720742831153,2024,-33.02579,37.822
40,2.746,4,-1.895,0,3,-2.9250000000000003,1.0975903686358066,2023,-7.704289999999999,14.957
21,23.05333333333333,18,800.1999999999999,1,6,-31.696407356688827,15.243500171499408,2023,326.0319,317.56
41,14.426666666666668,9,-2.123,1,5,-32.95765528782188,8.87842542820495,2023,-50.04182,15.979
16,2.1283333333333334,25,225.69999999999996,1,4,12.609203336106711,0.4345388712529914,2024,29.69308,56.701
37,24.096666666666668,18,128.83333333333334,1,6,-30.04250745043804,19.097562561498535,2023,-9.82711,42.553
26,17.039666666666665,19,627.3716666666666,0,5,35.815666666666665,10.415316925799168,2023,86.35096,161.98
26,17.645,1,905.648,0,6,46.839,6.912490239437346,2023,169.4498,111.57
27,11.956666666666663,11,278.1666666666667,1,5,-33.169395000168855,1.0502896939823143,2023,42.85153,103.74
43,13.551666666666668,2,-1.101,0,6,-10.131666666666666,2.317200750143636,2024,-9.98662,18.92
17,2.689,20,243.13333333333333,1,4,12.418753048768163,1.223442974285983,2024,58.43335,45.251000000000005
20,20.55,13,817.5,1,6,-21.000657286962493,15.232423465847749,2023,329.3847,235.26
37,21.336333333333332,17,51.77133333333333,0,7,-7.605999999999999,14.117218527330817,2023,-21.14091,41.65
14,13.032333333333334,29,391.1573333333333,0,5,-8.628,3.8097988562860454,2023,51.67337,60.114
20,18.361,16,288.457,0,6,5.8406666666666665,8.012903643840174,2023,42.23507,53.92100000000001
18,16.986333333333334,29,260.8156666666667,0,5,11.426666666666668,5.015632365364246,2024,26.61188,71.34899999999999
39,13.782666666666666,26,25.583,0,5,-1.028,7.27167890270046,2023,-41.06528,29.904
9,16.22,29,9.153666666666666,1,6,-26.76379832978983,5.599465124548807,2023,-6.670210000000001,4.9503
38,16.956666666666667,20,116.89666666666666,1,6,-8.080463535683979,3.86432584705782,2024,8.51539,13.245
21,8.447666666666667,17,440.66100000000006,0,4,11.204666666666666,3.2877537366612613,2024,60.38912,91.603
23,14.28,27,614.2333333333333,1,4,-4.1743019238767225,7.673448685718244,2024,196.1732,44.203
21,17.77433333333333,9,864.0273333333334,0,6,56.45766666666666,11.886450993707587,2024,151.9213,253.53
21,18.60666666666667,24,514.1,1,5,-3.671842112328881,7.956245584166359,2024,95.50916,98.158
39,11.011666666666663,4,-2.7083333333333335,0,4,-0.157,2.434034942517478,2024,-26.43532,37.955
46,11.408333333333331,13,-4.692,0,3,5.755,2.1963363470162793,2023,-33.44964,-6.2457
16,22.47,8,554.9666666666667,1,7,-40.94312256652598,14.39258878122872,2023,121.8926,117.81
15,8.15,26,386.7226666666666,0,4,-6.665333333333334,4.172041850846943,2024,58.75525,70.893
26,26.206666666666667,26,829.6666666666666,1,6,-14.246819979698143,15.135072036123404,2024,228.2419,257.14
42,15.160000000000002,29,-1.966,1,4,-11.989590620899763,6.447166183985919,2024,-70.14394,14.372
10,12.647666666666668,8,-1.1806666666666663,0,4,-1.354666666666667,0.6331754048332634,2024,-20.35533,198.87
39,15.853333333333332,3,36.376666666666665,1,6,-35.01607501362831,10.912565474440129,2023,-29.09894,22.962
5,10.340000000000002,22,-1.777,1,7,-45.72094306139828,0.9810204273944568,2023,-55.18721,11.371
40,14.36,13,0.551,1,7,-32.29479275702959,4.5550136794993,2023,-15.142870000000002,8.3491
28,11.363333333333332,12,672.0333333333333,1,6,3.094644741919422,4.645281104649154,2024,151.0791,182.86
23,17.25333333333333,25,710.3333333333334,1,5,-5.320031632363543,6.635476513312728,2024,198.7094,151.01
44,7.920333333333333,21,-0.626,0,2,1.445,0.6276353696204477,2023,-1.52129,3.2343
44,13.106666666666667,3,-2.86,1,6,-34.20406841340775,8.468901567484544,2023,-49.4202,8.1561
20,16.16333333333333,6,702.0666666666667,1,7,-40.97481839496341,7.88370183761976,2023,188.1211,138.52
15,18.091333333333335,24,443.3956666666667,0,6,-2.796666666666667,5.043967022841533,2023,58.29156,132.05
41,12.023333333333332,17,-0.4356666666666666,1,7,-46.267804649301915,1.9785643726303943,2023,-59.793519999999994,39.365
38,20.393333333333334,30,29.44333333333333,1,4,-21.525804311637447,8.947570584490633,2024,-39.535059999999994,45.367
30,30.397,26,699.1866666666668,0,6,86.28433333333334,22.89543166258377,2024,65.26983,153.12
19,13.896666666666668,1,276.8666666666667,1,6,-2.034741575893696,0.4611479289457083,2024,95.47217,28.930999999999997
3,15.920000000000002,24,-1.8373333333333337,1,7,-47.743759253891405,2.288828659829834,2023,-80.66015,38.992
21,15.003333333333336,6,869.0,1,6,3.5221486721726736,7.374368301660237,2024,233.471,145.14
5,11.946666666666664,28,-2.472,1,6,-22.86188264634869,2.2951175144533735,2023,-25.61247,1.5663
25,17.99,30,907.4793333333332,0,5,46.56333333333333,10.712363499868506,2023,144.4745,174.08
28,11.810666666666668,27,714.8033333333333,0,4,25.720333333333333,8.385646077292856,2023,141.5715,160.71
20,12.11,30,808.8000000000001,1,5,-31.115027709048515,4.849812795463336,2023,285.036,82.33
36,17.2,31,44.45666666666667,1,7,-42.39389418413774,4.295840146313802,2023,-22.38435,27.22
47,1.5076666666666665,24,-0.1263333333333333,1,4,8.912590075085161,0.34973455431071,2024,-30.11747,22.779
