30min,airPressure,airTemperature,day,day_of_year,incomingShortwaveRadiation,location,month,relativeHumidity,soilHeatflux,soilTemperature,waterPressureDeficit,waterVaporPressure,windSpeed,year,H_orig,LE_orig
37,965.0,24.243333333333336,7,188,165.33333333333334,1,7,36.153333333333336,-48.73544791349593,16.968937500000003,19.362201267598692,10.963894484096036,2.356333333333333,2023,-12.49436,74.993
40,950.0,17.013333333333332,31,212,-0.3656666666666666,1,7,75.36333333333333,-42.18895677287095,14.583457500000002,4.785316019081506,14.638237028198311,5.877333333333333,2023,-20.67731,13.591
15,979.177,9.709333333333332,4,95,47.64766666666667,0,4,85.20133333333332,-2.568,10.831111111111111,1.784162337297296,10.272074737871376,2.3216666666666668,2024,-10.39666,18.712
17,963.0,19.126666666666665,12,163,629.8333333333333,1,6,57.373333333333335,-17.504491626463842,14.917152499999998,9.45603549637652,12.72734461711235,2.4410000000000003,2023,175.2832,105.98
6,979.1473333333332,13.169333333333334,5,126,-0.6213333333333333,0,5,81.64166666666667,-7.357666666666667,14.845555555555556,2.78409340697047,12.381190698179612,1.9846666666666664,2024,-16.27071,15.723
40,990.3763333333332,2.746,4,63,-1.895,0,3,85.25733333333334,-2.9250000000000003,5.39211111111111,1.0975903686358066,6.347401731182,0.8746666666666667,2023,-7.704289999999999,14.957
34,989.9943333333334,21.444666666666667,7,158,248.54733333333337,0,6,65.38366666666667,20.735,15.646333333333333,8.86132363865698,16.737354168515875,1.011,2023,25.02486,33.577
41,953.0,14.426666666666668,9,129,-2.123,1,5,46.05333333333334,-32.95765528782188,9.71023775,8.87842542820495,7.579357743208083,3.612,2023,-50.04182,15.979
29,950.0,15.363333333333337,25,206,604.3000000000001,1,7,59.75333333333333,-44.46258972646955,14.5229525,7.036071801210248,10.446299743953528,4.204,2023,92.15258,172.86
38,957.0,9.686666666666666,3,124,12.291,1,5,82.93333333333334,-2.565116967641186,10.666666666666666,2.0544634727042315,9.983408437672123,3.510666666666666,2024,-8.3907,19.31
26,995.6793333333334,17.039666666666665,19,139,627.3716666666666,0,5,46.46733333333333,35.815666666666665,11.873,10.415316925799168,9.040685501004091,2.6006666666666667,2023,86.35096,161.98
14,962.0,15.659999999999998,8,159,191.03333333333333,1,6,79.21666666666665,-31.520054082939847,11.983445,3.703240755891653,14.115078839417013,1.647333333333333,2023,17.39159,55.16
27,957.0,11.956666666666663,11,131,278.1666666666667,1,5,92.5,-33.169395000168855,9.99041725,1.0502896939823143,12.95357289244856,1.7993333333333332,2023,42.85153,103.74
9,955.0,12.873333333333337,4,185,26.3,1,7,71.29,-28.01621774249964,17.0589775,4.270403393465427,10.603868266114612,5.228333333333333,2023,-41.19263,11.49
