30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,soilTemperature,windSpeed,H_orig,LE_orig
18,14.786666666666669,133,650.6666666666666,1,10.898888888888887,3.6366666666666663,279.6941,136.11
0,11.67,199,-2.0849999999999995,1,15.2346925,3.7306666666666666,-72.65966999999999,38.446
34,9.486666666666666,164,105.1,1,11.387777777777778,3.8843333333333336,-63.78796,96.386
3,11.8,144,-1.9343333333333337,1,12.136666666666668,4.276,-63.35228000000001,34.312
12,18.795666666666666,98,23.860666666666663,0,12.466777777777777,1.338666666666667,-49.851409999999994,28.426
40,2.746,63,-1.895,0,5.39211111111111,0.8746666666666667,-7.704289999999999,14.957
19,24.599666666666668,169,734.1473333333333,0,16.44033333333333,0.8803333333333333,98.72571,153.83
41,14.426666666666668,129,-2.123,1,9.71023775,3.612,-50.04182,15.979
29,30.676666666666662,189,777.9603333333333,0,20.417666666666666,1.4203333333333334,50.27578,213.76
33,24.853333333333335,169,464.8666666666666,1,15.1865275,2.276,75.94493,80.559
24,14.159999999999998,139,665.1999999999999,1,9.8186585,3.1606666666666663,308.5281,124.59
24,16.956666666666667,152,921.5643333333334,0,14.493333333333332,1.4803333333333335,113.5001,69.975
27,11.956666666666663,131,278.1666666666667,1,9.99041725,1.7993333333333332,42.85153,103.74
18,18.479000000000003,172,662.362,0,17.78222222222222,2.4603333333333333,79.17075,128.7
15,2.115,111,96.78333333333336,1,7.946333333333333,2.8913333333333333,26.26386,26.946
15,18.24,164,488.06666666666666,1,15.0526525,1.3373333333333337,147.4371,114.69
22,21.174666666666667,97,507.15033333333344,0,11.388888888888888,2.8009999999999997,31.5888,113.31
12,11.729666666666668,149,219.04833333333332,0,13.976666666666668,0.6326666666666666,30.0712,32.783
17,17.347333333333335,167,312.03400000000005,0,16.97666666666667,0.9836666666666668,46.28536,58.951
35,16.993666666666666,166,47.11833333333333,0,17.057777777777776,2.1033333333333335,-11.50771,32.795
36,16.845333333333333,146,212.6046666666667,0,13.646333333333333,1.111,-13.315,41.091
8,16.383333333333336,180,2.5433333333333334,1,17.53408,1.4633333333333336,-8.056569999999999,3.5296
38,16.956666666666667,172,116.89666666666666,1,12.58,2.545666666666667,8.51539,13.245
28,21.433333333333337,193,778.3000000000001,1,15.598960000000002,5.933333333333333,192.4228,208.32
21,13.366666666666667,118,692.3333333333334,1,7.246777777777779,3.2373333333333334,198.5638,53.768
19,12.38,161,719.5666666666666,1,12.264444444444443,2.6906666666666665,269.4415,147.26
31,25.34766666666667,135,623.3223333333334,0,16.880777777777777,3.599,51.66135,150.83
37,9.583333333333334,95,5.492,1,7.764555555555556,4.540666666666667,-18.0349,2.1926
46,11.408333333333331,72,-4.692,0,6.210888888888889,1.4393333333333331,-33.44964,-6.2457
33,23.14633333333333,179,446.823,0,17.976333333333333,1.288333333333333,46.440740000000005,97.016
16,17.256666666666664,184,613.5233333333334,0,15.970333333333334,2.9506666666666668,117.9987,151.61
26,26.206666666666667,178,829.6666666666666,1,13.913333333333334,2.18,228.2419,257.14
39,15.696666666666667,120,-0.285,1,8.627777777777778,1.8783333333333332,-61.40166,13.562
47,13.12,171,-2.2739999999999996,1,12.732222222222225,2.8036666666666665,-40.93823,9.4509
35,17.783333333333335,154,312.1333333333333,1,11.0619825,2.225666666666667,71.86018,46.263000000000005
3,10.67,203,-1.7563333333333333,1,14.43759,3.6453333333333338,-60.23463,8.0826
42,14.703333333333331,171,-2.3929999999999993,1,12.734444444444444,2.0156666666666667,-21.54243,6.3327
28,11.363333333333332,164,672.0333333333333,1,11.42888888888889,3.655,151.0791,182.86
4,10.556666666666668,126,-0.0423333333333333,1,10.37,3.5563333333333333,-32.816790000000005,22.187
44,7.920333333333333,52,-0.626,0,7.6755555555555555,0.7213333333333334,-1.52129,3.2343
40,14.733333333333333,154,6.898666666666667,1,11.0967525,1.6903333333333332,-40.16716,5.4627
13,14.572666666666668,184,193.69133333333335,0,16.080333333333332,1.882,14.11176,60.97
15,18.091333333333335,175,443.3956666666667,0,16.583333333333332,0.8340000000000001,58.29156,132.05
1,13.06,150,-0.8876666666666667,1,12.53888888888889,4.181,-30.20715,16.309
36,22.717,121,109.50866666666666,0,13.959,2.193,-19.68791,25.946
