year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,H_orig,LE_orig
2024,133,19,0,739.8863333333334,42.346666666666664,106.1496,159.42
2023,199,2,1,-2.327666666666667,-42.184904338184886,-61.52758000000001,23.111
2024,164,34,1,105.1,0.8085434295179038,-63.78796,96.386
2024,178,21,0,833.4683333333332,101.25133333333332,96.19511,163.97
2024,98,14,0,122.29933333333334,1.3916666666666666,-33.02579,37.822
2023,63,40,0,-1.895,-2.9250000000000003,-7.704289999999999,14.957
2023,169,21,1,800.1999999999999,-31.696407356688827,326.0319,317.56
2023,129,41,1,-2.123,-32.95765528782188,-50.04182,15.979
2024,116,16,1,225.69999999999996,12.609203336106711,29.69308,56.701
2023,169,37,1,128.83333333333334,-30.04250745043804,-9.82711,42.553
2023,139,26,0,627.3716666666666,35.815666666666665,86.35096,161.98
2023,152,26,0,905.648,46.839,169.4498,111.57
2023,131,27,1,278.1666666666667,-33.169395000168855,42.85153,103.74
2024,154,43,0,-1.101,-10.131666666666666,-9.98662,18.92
2024,111,17,1,243.13333333333333,12.418753048768163,58.43335,45.251000000000005
2023,164,20,1,817.5,-21.000657286962493,329.3847,235.26
2023,198,37,0,51.77133333333333,-7.605999999999999,-21.14091,41.65
2023,149,14,0,391.1573333333333,-8.628,51.67337,60.114
2023,167,20,0,288.457,5.8406666666666665,42.23507,53.92100000000001
2024,150,18,0,260.8156666666667,11.426666666666668,26.61188,71.34899999999999
2023,146,39,0,25.583,-1.028,-41.06528,29.904
2023,180,9,1,9.153666666666666,-26.76379832978983,-6.670210000000001,4.9503
2024,172,38,1,116.89666666666666,-8.080463535683979,8.51539,13.245
2024,108,21,0,440.66100000000006,11.204666666666666,60.38912,91.603
2024,118,23,1,614.2333333333333,-4.1743019238767225,196.1732,44.203
2024,161,21,0,864.0273333333334,56.45766666666666,151.9213,253.53
2024,145,21,1,514.1,-3.671842112328881,95.50916,98.158
2024,95,39,0,-2.7083333333333335,-0.157,-26.43532,37.955
2023,72,46,0,-4.692,5.755,-33.44964,-6.2457
2023,189,16,1,554.9666666666667,-40.94312256652598,121.8926,117.81
2024,117,15,0,386.7226666666666,-6.665333333333334,58.75525,70.893
2024,178,26,1,829.6666666666666,-14.246819979698143,228.2419,257.14
2024,120,42,1,-1.966,-11.989590620899763,-70.14394,14.372
2024,99,10,0,-1.1806666666666663,-1.354666666666667,-20.35533,198.87
2023,154,39,1,36.376666666666665,-35.01607501362831,-29.09894,22.962
2023,203,5,1,-1.777,-45.72094306139828,-55.18721,11.371
2023,194,40,1,0.551,-32.29479275702959,-15.142870000000002,8.3491
2024,164,28,1,672.0333333333333,3.094644741919422,151.0791,182.86
2024,146,23,1,710.3333333333334,-5.320031632363543,198.7094,151.01
2023,52,44,0,-0.626,1.445,-1.52129,3.2343
2023,154,44,1,-2.86,-34.20406841340775,-49.4202,8.1561
2023,187,20,1,702.0666666666667,-40.97481839496341,188.1211,138.52
2023,175,15,0,443.3956666666667,-2.796666666666667,58.29156,132.05
2023,198,41,1,-0.4356666666666666,-46.267804649301915,-59.793519999999994,39.365
2024,121,38,1,29.44333333333333,-21.525804311637447,-39.535059999999994,45.367
2024,178,30,0,699.1866666666668,86.28433333333334,65.26983,153.12
2024,153,19,1,276.8666666666667,-2.034741575893696,95.47217,28.930999999999997
2023,205,3,1,-1.8373333333333337,-47.743759253891405,-80.66015,38.992
2024,158,21,1,869.0,3.5221486721726736,233.471,145.14
2023,179,5,1,-2.472,-22.86188264634869,-25.61247,1.5663
2023,150,25,0,907.4793333333332,46.56333333333333,144.4745,174.08
2023,117,28,0,714.8033333333333,25.720333333333333,141.5715,160.71
2023,150,20,1,808.8000000000001,-31.115027709048515,285.036,82.33
2023,212,36,1,44.45666666666667,-42.39389418413774,-22.38435,27.22
2024,115,47,1,-0.1263333333333333,8.912590075085161,-30.11747,22.779
2024,127,24,0,433.9086666666667,42.68333333333334,60.47476,100.64
2023,144,26,1,403.3,-30.909366648730668,133.292,56.504
2024,178,14,0,383.315,4.551333333333333,79.29939,67.87899999999999
2024,175,44,0,-4.5056666666666665,-17.206333333333333,-14.18575,-3.1372
2023,212,41,1,-0.7163333333333335,-41.982933888027546,-47.92987,49.031000000000006
