year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2023,5,29,5,1,-2.5096666666666665,-65.05429000000001,1.7773
2024,4,25,14,1,148.1,19.57137,47.071000000000005
2023,7,6,28,1,494.26666666666665,63.33152,79.825
2023,7,21,14,0,134.15266666666668,18.21139,38.63
2023,5,8,46,0,-3.4796666666666667,-28.928409999999996,19.969
2023,5,30,24,0,908.7553333333334,156.026,113.03
2024,6,16,29,1,323.93333333333334,45.96751,86.681
2024,5,28,7,0,-1.034,-10.19266,16.968
2024,5,24,7,1,-2.252666666666667,-23.94274,8.7215
2023,7,31,24,1,372.1,85.98491,106.78
2023,5,29,31,0,642.2446666666666,97.19744,116.61
2023,7,28,27,1,650.8,169.4854,192.21
2023,2,28,19,0,364.5916666666667,70.56967,42.18600000000001
2023,5,16,28,0,377.142,64.75307,106.19
2024,4,17,47,1,-0.2599999999999999,-6.027480000000001,31.311
2023,7,28,41,1,-0.896,-27.60117,4.112
2023,7,17,47,1,-2.224,-36.25121,10.458
2024,5,24,41,1,-0.6243333333333333,-12.92382,16.247
2023,6,15,32,1,550.9333333333333,137.626,123.47
2024,4,14,28,0,419.19699999999995,39.08062,140.32
2023,7,6,36,0,192.515,-22.07456,83.464
2024,4,20,17,1,243.13333333333333,58.43335,45.251000000000005
2024,6,27,18,1,642.1666666666666,182.4769,138.61
2023,5,13,10,1,29.80333333333333,-21.15082,3.5387
2024,5,17,6,1,-0.9516666666666668,-66.17995,47.593
2024,5,16,24,1,257.23333333333335,52.78783000000001,77.327
2023,3,5,31,0,161.01833333333337,18.44783,20.774
2023,7,25,29,0,510.20433333333335,67.26641,161.82
2024,5,11,16,0,421.9836666666667,75.38261,77.421
2023,5,21,39,0,14.127333333333333,-42.74341,20.843000000000004
2023,3,17,1,0,-3.893666666666667,-38.579240000000006,8.1261
2023,5,18,16,0,483.852,90.84332,81.673
2023,7,28,16,0,146.12233333333333,14.36104,42.647
2024,4,5,6,0,-1.233,-19.16127,9.5178
2023,7,24,13,1,146.03333333333333,-12.15284,43.925
