year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,H_orig,LE_orig
2023,137,47,1,-2.1326666666666667,-28.447657306755566,2.4652243061540347,-55.60547,3.0139
2023,181,20,1,127.06666666666666,-26.76502853317665,0.7009720451120334,15.326620000000002,42.81100000000001
2023,184,5,1,-1.74,-29.24540802066971,4.130563310378733,-24.02158,-0.065085
2024,94,4,1,-1.0453333333333334,3.3505552765058564,1.7379818734534798,-29.1114,1.3141
2024,180,35,1,309.3333333333333,-10.958192074866764,12.83255888585274,52.06025,112.83
2023,141,0,1,-1.2226666666666668,-35.22904492936208,3.370378246894171,-38.233509999999995,2.4598
2023,199,33,1,458.0,-51.39225303964311,15.317797553652383,81.52525,176.85
2024,142,6,1,-2.0516666666666667,-4.35847157240792,3.493971539709225,-63.325759999999995,5.9107
2023,155,7,1,-2.0276666666666667,-32.5666677055216,6.939246230634681,-32.05198,7.7952
2024,127,12,1,42.66,0.8137645667280987,3.424270203644122,8.98093,9.4481
2023,117,22,0,685.3530000000001,19.15133333333333,6.493308121589036,140.5589,150.43
2023,166,13,0,316.28833333333336,-10.396666666666668,4.619368972644196,31.27398,33.400999999999996
2023,129,42,0,-3.806666666666666,-5.489,8.822991609372629,-56.4973,36.472
2023,136,33,1,289.76666666666665,-31.109527976260285,6.65052022652594,89.21136,41.813
2023,170,6,1,-0.88,-20.17605919325312,12.142355154842162,-3.69877,2.8555
2024,100,38,0,-0.598,-10.454666666666666,3.825067780375496,-34.24203,29.231
2024,149,21,1,600.4333333333333,1.4387391183860443,4.316837240095088,168.3745,116.04
2024,155,27,1,266.53333333333336,2.6761542689625144,3.8807103861623458,73.94495,67.889
2024,106,41,1,-0.0606666666666666,3.430442904778469,0.9709010703945804,-37.40229,52.305
2024,147,20,0,680.7903333333334,44.683666666666674,10.436687179033402,70.00581,139.89
2023,149,36,1,227.0,-36.45121581173663,9.28755467976686,49.04729,57.089
2024,161,22,1,892.3333333333334,1.6234618908765848,8.970292332281211,338.4105,190.66
2023,151,34,1,382.06666666666666,-38.08637320756443,13.820685275375016,89.8947,91.813
2023,193,32,0,559.0083333333333,21.31833333333333,18.201587437076892,42.29871,175.34
2023,201,2,0,-1.612,-17.493333333333332,0.6487341212849884,-24.5382,-3.1418
2023,146,18,0,719.4490000000001,9.408666666666669,3.440639907262902,104.4282,66.568
2024,122,21,1,747.1,-12.440205615922006,12.567803376685449,270.4643,142.49
2024,171,44,1,-1.806,-2.6476483527203567,4.353350648916374,-40.15652,9.0292
2024,101,10,0,-1.6740000000000002,-14.647999999999998,2.1925152305517326,-15.76529,9.3037
2024,141,32,0,421.42666666666673,29.97066666666667,11.641315761335358,39.49813,88.12299999999999
2023,161,19,0,744.2249999999999,18.531,11.083921525323806,113.7471,104.26
2023,157,26,1,149.16666666666666,-36.040038420911166,8.523222412982625,20.66654,21.66
2023,211,5,1,-2.029333333333333,-44.23478500518852,2.989310570910959,-51.92671,1.5792
2023,184,16,1,576.1333333333333,-28.426816214084283,5.943083484981289,136.5211,99.203
2024,138,19,0,671.6106666666666,47.39033333333333,10.62049782374748,94.62807,176.07
2024,105,25,0,429.523,17.91933333333333,8.193843387582104,42.05678,133.3
2024,102,28,0,379.48566666666665,22.926666666666662,8.753491051111709,43.26202,122.76
2023,191,22,1,313.6333333333334,-25.096872740619467,0.9844558472028312,67.95775,61.809
2024,130,43,1,-2.5266666666666664,-6.715014266968643,7.941282274265845,-19.75295,3.3053
2024,111,15,1,96.78333333333336,12.936583577635078,0.7875911075079527,26.26386,26.946
2023,181,38,1,51.96000000000001,-26.355443170263538,5.219619130601741,-15.460120000000002,24.996
2023,187,16,0,464.996,24.048,6.44661286739537,86.60611,94.208
2023,139,27,1,521.5666666666667,-31.505725831728427,8.685471295414699,178.8007,88.023
2024,100,29,1,154.6,-10.702393141564585,3.1081094076470297,52.546519999999994,173.68
2024,115,39,0,-1.561,-8.4,0.7598975494372651,-5.20196,25.452
2023,203,40,1,0.6926666666666668,-48.97345608639724,11.311519230603809,-28.09995,9.7957
2023,169,25,0,739.9656666666666,43.60566666666667,25.48644488201369,122.8601,278.85
2023,141,35,0,269.6813333333333,22.199,16.234602424962098,-29.64593,84.255
2024,134,4,0,-4.179333333333333,-18.735666666666663,3.71170735104317,-39.26295,7.883
2023,147,12,1,213.73333333333335,-31.953736959254044,2.6378717851013036,30.614959999999996,21.097
2024,151,9,1,8.487,1.9850386586918976,0.7195622040981515,-10.51193,10.509
2024,139,0,1,-1.133,-2.7400709114056716,1.8218938808541072,-47.34468,1.97
2023,205,42,0,-2.0263333333333335,-22.285,2.020968323883036,-28.84204,41.695
2023,208,15,0,85.59433333333334,-8.863,2.4442320662204953,-3.75011,31.677
2024,133,17,0,608.1256666666667,18.720666666666663,7.177291644620016,104.2776,116.49
2023,177,47,1,-2.7340000000000004,-21.402499605029075,5.455064528410453,-47.63111,4.0849
2024,120,24,0,766.1703333333334,70.83366666666667,12.68343194116044,121.2476,167.5
2023,145,30,0,596.1186666666666,37.36033333333333,8.356448428845475,90.7315,92.63
2023,190,39,0,1.5396666666666663,-2.1003333333333334,10.628435966986425,-42.3925,80.33
2024,134,17,1,568.3,-2.760439366930358,5.811145579467219,198.6508,70.07300000000001
2023,162,23,1,893.3333333333334,-24.4908166603372,18.955718925920436,323.4545,290.08
2023,156,37,1,149.93333333333334,-40.76438125090836,16.857975528445785,12.45494,60.088
2023,74,7,0,-0.7436666666666666,-14.858,1.6139086762849209,-15.312220000000002,8.896
2024,112,15,0,245.799,-9.830666666666666,1.91057753760058,26.60816,42.083
2023,149,19,0,738.2933333333334,18.267666666666667,7.665205587196155,111.9355,92.897
2024,136,9,1,24.570000000000004,-3.805595308884559,5.688993762614254,-39.7284,9.905
2024,156,21,1,267.8,2.2104414487569586,6.791468336873752,120.0592,61.356
2023,184,28,1,521.9666666666667,-30.26184547782138,9.870740896838742,123.9156,189.93
2023,65,12,0,-0.7623333333333333,-6.880666666666667,0.3841231514683478,-4.270569999999999,3.1505
