year,month,day,30min,location,netRadiation,incomingShortwaveRadiation,soilHeatflux,airPressure,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,day_of_year,H_orig,LE_orig
2024,4,29,33,1,159.15000000000003,269.26666666666665,-15.86944534973389,964.6666666666666,10.140742194906089,9.88178418703301,2.0156666666666667,49.35333333333333,120,80.7035,44.00899999999999
2024,6,26,26,1,620.3969999999999,829.6666666666666,-14.246819979698145,957.0,15.135072036123404,18.945252296512045,2.18,55.59,178,228.2419,257.14
2024,4,23,36,1,-6.694666666666649,73.50333333333334,1.667091059808128,956.0,5.080230993136277,4.087654581580295,1.5023333333333333,44.586666666666666,114,14.35856,7.4633
2023,6,28,9,1,-56.71233333333339,39.23333333333333,-22.041626446945855,962.0,2.0974144954117584,11.492744222159022,2.702,84.56666666666666,179,-34.00708,4.7038
2023,6,3,39,1,-77.28000000000003,36.376666666666665,-35.01607501362831,964.0,10.912565474440129,7.127714694910391,1.7803333333333333,39.51,154,-29.098940000000002,22.962
2023,7,22,2,1,-20.162666666666553,-1.766333333333333,-46.12596943528956,957.0,0.8509173549038227,12.240118874385763,3.478,93.5,203,-33.21909,3.6645
2023,7,13,39,0,-33.197,4.201666666666667,-23.245,990.192,6.028491553199093,13.141628498948705,0.9533333333333335,68.55266666666667,194,-14.98065,40.203
2024,6,12,28,1,500.0693333333333,672.0333333333333,3.094644741919422,961.0,4.645281104649154,8.819301807377377,3.655,65.5,164,151.0791,182.86
2023,7,13,39,1,-21.738333333333287,5.6113333333333335,-32.087612033704445,962.0,5.400767006526374,11.674057547777677,3.768333333333333,68.36999999999999,194,-29.17105,30.177
2023,2,21,44,0,-5.198999999999999,-0.626,1.445,989.064,0.6276353696204477,10.052490035151774,0.7213333333333334,94.12333333333333,52,-1.52129,3.2343
2023,6,3,44,1,-97.22466666666668,-2.86,-34.20406841340775,964.0,8.468901567484544,6.634358866740658,2.411,43.92666666666667,154,-49.4202,8.1561
2023,7,3,13,0,67.696,193.69133333333335,-9.584666666666665,982.3793333333333,5.601667530855288,11.012274725759493,1.882,66.28333333333332,184,14.11176,60.97
2023,7,13,30,0,283.2776666666667,467.8483333333333,33.092333333333336,988.5046666666667,15.470003787887357,12.543862114798781,2.4426666666666663,44.77733333333333,194,55.25355,149.7
2024,4,6,22,0,283.0843333333334,507.15033333333344,69.395,986.1616666666665,11.113251705411505,14.065359999054456,2.8009999999999997,55.86233333333333,97,31.5888,113.31
2024,4,30,36,0,11.335,109.50866666666666,23.687,984.9120000000001,11.01490819183893,16.64660860068481,2.193,60.17966666666666,121,-19.687910000000002,25.945999999999998
2024,6,26,30,0,429.769,699.1866666666668,86.28433333333334,982.0360000000001,22.89543166258377,20.5725051208757,2.0399999999999996,47.327999999999996,178,65.26983,153.12
2024,6,1,19,1,223.46666666666664,276.8666666666667,-2.034741575893696,956.0,0.46114792894570833,15.440504793319992,4.489999999999999,97.09999999999998,153,95.47216999999999,28.930999999999997
2023,7,11,31,0,412.9473333333333,640.9250000000001,60.70400000000001,983.8770000000001,29.93216738982994,16.354212219395645,1.9006666666666667,35.33266666666667,192,36.88465,194.89
2023,7,30,15,0,140.71566666666666,351.157,21.364666666666665,982.698,7.175284432312335,14.644702285581882,1.7779999999999998,67.116,211,19.59232,80.977
2024,5,6,41,0,-35.21966666666666,-3.764,-3.3876666666666666,981.348,1.6622589261169463,13.56593534618537,0.876,89.08433333333333,127,-7.240060000000001,-2.6553
2023,5,30,25,0,546.395,907.4793333333333,46.56333333333333,996.7336666666666,10.712363499868506,9.946870033350947,1.6666666666666667,48.147333333333336,150,144.4745,174.08
2023,4,27,28,0,412.63466666666665,714.8033333333333,25.720333333333333,991.328,8.385646077292856,5.483790163984528,1.3926666666666667,39.53866666666667,117,141.5715,160.71
2023,5,30,20,1,591.6723333333333,808.8000000000001,-31.115027709048515,968.0,4.849812795463336,9.296456904478337,2.4913333333333334,65.71666666666667,150,285.036,82.33
2024,6,15,17,1,123.08733333333339,158.4,-2.1369692835701417,948.0,1.469564264304534,13.27522768523932,4.881,90.03333333333335,167,-41.8203,167.12
2023,7,18,33,1,298.35333333333347,458.0,-51.39225303964311,962.0,15.317797553652383,10.325836743756746,2.6156666666666673,40.26666666666667,199,81.52525,176.85
2023,7,1,17,1,254.582,343.1000000000001,-24.9203023721552,951.0,6.501105998321123,11.794689494139813,4.175333333333334,64.46666666666665,182,35.04533,131.59
2023,5,24,26,1,307.4326666666667,403.3,-30.909366648730668,965.0,4.068562448300394,8.228120349303058,3.267666666666667,66.91333333333334,144,133.292,56.504
2023,7,23,16,0,191.58900000000003,403.5696666666666,38.367,981.1283333333334,10.44107806324653,13.673380025456252,1.7723333333333333,56.702,204,20.0151,86.251
2024,4,22,19,0,387.4393333333333,758.2036666666667,18.825999999999997,994.8740000000001,5.329797273413033,4.606624496964925,2.6799999999999997,46.361,113,176.7552,136.2
2023,7,31,40,0,-21.924999999999997,-1.7353333333333332,-9.485333333333331,977.3413333333333,5.924914263821794,15.979730193656543,2.2533333333333334,72.95133333333332,212,-25.46013,27.915
2023,7,9,46,1,-60.192666666666696,-0.9859999999999999,-25.4977743149196,963.0,7.613456613375575,17.11358662590852,3.826,69.21,190,-67.94315999999999,45.442
2023,3,6,1,0,-10.341666666666667,-0.7566666666666667,-6.678666666666667,978.9446666666666,1.2531647261171237,5.66008471459079,1.1966666666666668,81.873,65,-7.302910000000001,5.9331
2024,4,15,27,1,263.0570000000001,368.26666666666665,-3.9883999605778597,947.6666666666666,6.869966113656262,6.06214051931656,5.013000000000001,46.876666666666665,106,187.7453,80.73100000000001
2023,5,20,16,1,111.09766666666667,147.79999999999998,-30.911031041548174,966.0,2.0930592405082376,10.099518859539746,3.5186666666666664,82.83333333333333,140,57.786559999999994,22.891
2024,5,26,32,1,241.30666666666656,379.5666666666666,-13.784779200658727,960.0,12.019650209321183,12.480248301321263,3.0273333333333334,50.94,147,51.663470000000004,45.562
2024,6,29,17,1,438.23333333333323,632.5666666666666,-0.49796828627797135,961.0,8.183720840225865,13.443448399271658,3.0673333333333335,62.16,181,185.2737,123.07
2023,7,15,43,0,-52.69833333333333,-2.427333333333333,-20.62033333333333,981.3636666666666,4.004158770211863,19.768330020106145,0.884,83.15633333333334,196,-12.12583,5.5807
2023,3,4,3,0,-9.399666666666667,-0.5670000000000001,-5.164666666666666,993.7383333333333,0.6226631649074728,6.147131691477897,0.7663333333333333,90.80233333333332,63,-9.35472,4.5771
2023,7,22,31,1,343.74333333333345,494.1000000000001,-48.9754823037403,958.0,12.674646516996347,10.38553878895856,3.792333333333333,45.03666666666667,203,117.3826,200.59
2024,4,3,12,1,8.489666666666665,20.206666666666667,4.6799945057568015,950.0,0.5657131863974953,9.187962441145526,4.291333333333333,94.2,94,-21.73869,16.899
2024,5,1,22,0,453.7543333333333,815.7426666666667,87.46333333333332,979.3593333333333,17.27945461657057,13.533795885534657,2.856333333333333,43.922,122,88.27206,188.28
