TIMESTAMP_START,TIMESTAMP_MITTE,TIMESTAMP_ENDE,kurzwEinstrahlung_300cm,kurzwAusstrahlung_300cm,Nettostrahlung_300cm,diffuseEinstrahlung_160cm,PPFDEinstrahlung_300cm,PPFDAusstrahlung_300cm,Bodenwaermefluss,Luftdruck,Lufttemperatur_40cm,Lufttemperatur_200cm,RelativeFeuchte_40cm,RelativeFeuchte_200cm,Wasserdampfdruck_200cm,Wasserdampfdefizit_200cm,Niederschlag_I_155cm,Niederschlag_II_150cm,Windgeschw_380cm,Windrichtung_380cm,Bodentemp_30cm_1,Bodentemp_30cm_2,Bodentemp_30cm_3,Bodenfeuchte_30cm_1,Bodenfeuchte_30cm_2,Bodenfeuchte_30cm_3
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,deg,degC,degC,degC,%,%,%
2023-04-01 00:00:00,2023-04-01 00:15:00,2023-04-01 00:30:00,-3.462666666666667,1.7733333333333332,-43.78966666666667,-0.9136666666666665,-0.13599999999999998,-0.054333333333333324,-1.2973333333333334,968.3823333333333,9.199,9.505333333333333,97.735,84.42566666666666,10.03975905759155,1.8520736681493002,0.0,0.0,1.569,216.3999144086397,10.853333333333333,12.107,7.343333333333334,35.757666666666665,38.56166666666667,35.37766666666667
2023-04-01 00:30:00,2023-04-01 00:45:00,2023-04-01 01:00:00,-3.7249999999999996,1.8906666666666665,-40.77333333333333,-1.2406666666666666,-0.18000000000000002,-0.13633333333333333,-1.3816666666666666,968.3220000000001,8.894,9.172333333333334,100.0,87.80866666666667,10.210123473084368,1.4175709911116883,0.0,0.1,1.6873333333333331,202.32309532226796,10.85,12.12,7.32,35.745666666666665,38.565333333333335,35.416
2023-04-01 01:00:00,2023-04-01 01:15:00,2023-04-01 01:30:00,-3.497666666666667,2.002666666666667,-42.742,-1.0796666666666666,-0.23299999999999998,-0.06966666666666667,-1.4323333333333332,968.2726666666667,8.818333333333333,9.078333333333333,100.0,89.10266666666666,10.294986109322984,1.259085720913653,0.0,0.0,2.006,214.1212965775552,10.86,12.120333333333333,7.338666666666668,35.705333333333336,38.538666666666664,35.349999999999994
2023-04-01 01:30:00,2023-04-01 01:45:00,2023-04-01 02:00:00,-3.199666666666667,2.139666666666667,-39.32,-0.912,-0.09333333333333332,-0.020666666666666667,-1.546,968.1876666666667,8.651000000000002,8.912666666666667,100.0,90.11933333333332,10.296417483603125,1.1288972660286145,0.2,0.2,1.8963333333333334,217.48190495744726,10.843333333333334,12.126333333333333,7.3196666666666665,35.711666666666666,38.56366666666667,35.345666666666666
2023-04-01 02:00:00,2023-04-01 02:15:00,2023-04-01 02:30:00,-2.7776666666666663,2.243,-42.05133333333333,-0.6413333333333333,-0.08366666666666668,-0.09500000000000001,-1.6906666666666668,968.1776666666666,8.607666666666667,8.88,100.0,89.53333333333335,10.206867454332837,1.1932078855772552,0.0,0.0,2.009,217.58710709188142,10.85,12.113333333333335,7.316666666666666,35.71366666666666,38.553333333333335,35.37766666666667
2023-04-01 02:30:00,2023-04-01 02:45:00,2023-04-01 03:00:00,-3.359666666666667,2.2533333333333334,-40.37966666666667,-0.8596666666666666,-0.141,-0.051666666666666666,-1.8183333333333334,968.1080000000001,8.545333333333334,8.812333333333333,100.0,89.585,10.166060529273173,1.181888936902162,0.0,0.1,1.9146666666666665,210.87493626270356,10.853333333333333,12.11,7.316666666666666,35.704,38.56466666666667,35.38766666666667
2023-04-01 03:00:00,2023-04-01 03:15:00,2023-04-01 03:30:00,-3.0706666666666664,2.2293333333333334,-37.33833333333333,-0.765,-0.204,-0.20133333333333334,-1.985,968.128,8.416333333333332,8.698333333333332,100.0,90.06099999999999,10.141413388040307,1.1191915220098902,0.1,0.0,1.7400000000000002,216.92369319421402,10.853333333333333,12.129666666666667,7.3069999999999995,35.72833333333333,38.55166666666667,35.38366666666666
2023-04-01 03:30:00,2023-04-01 03:45:00,2023-04-01 04:00:00,-2.757333333333333,2.0433333333333334,-34.138666666666666,-0.6673333333333332,-0.2323333333333333,-0.16666666666666666,-2.0483333333333333,968.1909999999999,8.405666666666667,8.671,100.0,90.18366666666667,10.136419255703453,1.10333138913259,0.1,0.1,1.5650000000000002,216.8746593507812,10.854999999999999,12.107,7.2796666666666665,35.739666666666665,38.56733333333333,35.334
2023-04-01 04:00:00,2023-04-01 04:15:00,2023-04-01 04:30:00,-2.1969999999999996,2.0756666666666668,-35.38,-0.457,-0.153,-0.14966666666666667,-2.0733333333333337,968.195,8.325666666666669,8.595,100.0,90.48899999999999,10.11842916755226,1.0635146792713996,0.0,0.0,1.66,213.60754469369044,10.863333333333335,12.096666666666666,7.273666666666667,35.74533333333333,38.55766666666667,35.40166666666667
2023-04-01 04:30:00,2023-04-01 04:45:00,2023-04-01 05:00:00,-2.926666666666667,2.236,-41.574000000000005,-0.7706666666666666,-0.123,-0.07633333333333334,-2.124,968.2689999999999,8.432,8.727666666666666,100.0,88.39833333333333,9.974004198688876,1.3090187074996376,0.1,0.1,1.7106666666666666,211.3139038062353,10.856666666666667,12.097,7.279666666666667,35.76,38.572333333333326,35.41466666666667
