TIMESTAMP_START;TIMESTAMP_MITTE;TIMESTAMP_ENDE;kurzwEinstrahlung_300cm;kurzwAusstrahlung_300cm;Nettostrahlung_300cm;PPFDEinstrahlung_300cm;PPFDAusstrahlung_300cm;Bodenwaermefluss;Luftdruck;Lufttemperatur_40cm;Lufttemperatur_200cm;RelativeFeuchte_40cm;RelativeFeuchte_200cm;Wasserdampfdruck_200cm;Wasserdampfdefizit_200cm;Niederschlag_I_150cm;Niederschlag_II_150cm;Windgeschw_380cm;Windrichtung_380cm;Bodentemp_1_30cm;Bodentemp_2_30cm;Bodentemp_3_30cm;Bodenfeuchte_1_30cm;Bodenfeuchte_2_30cm;Bodenfeuchte_3_30cm
-;-;-;Wm-2;Wm-2;Wm-2;umolm-2s-1;umolm-2s-1;Wm-2;hPa;degC;degC;%;%;hPa;hPa;mm;mm;ms-1;deg;degC;degC;degC;%;%;%
2024-04-01 00:00:00;2024-04-01 00:15:00;2024-04-01 00:30:00;-4.227666666666667;0.27366666666666667;-46.302666666666674;-0.11666666666666668;-0.0029999999999999996;-10.788333333333332;967.9609999999999;8.420333333333334;9.537;100.0;91.48899999999999;10.902948332391338;1.0142748664537038;0.0;0.0;1.0659999999999998;79.97942898173265;12.339999999999998;12.459666666666665;8.25;28.676333333333332;40.31066666666666;35.959666666666664
2024-04-01 00:30:00;2024-04-01 00:45:00;2024-04-01 01:00:00;-3.819333333333333;0.6746666666666666;-41.647999999999996;-0.054;-0.17666666666666667;-12.204666666666666;967.5649999999999;7.43;9.214333333333334;100.0;93.47666666666667;10.900054838513372;0.7606678072592317;0.0;0.0;0.6076666666666667;46.28403049458697;12.366666666666665;12.479999999999999;8.24;28.670333333333332;40.34033333333334;35.952666666666666
2024-04-01 01:00:00;2024-04-01 01:15:00;2024-04-01 01:30:00;-3.327666666666667;0.26299999999999996;-34.09433333333333;-0.012666666666666668;-0.14766666666666664;-13.124;967.6453333333334;7.594333333333334;8.896;100.0;94.12933333333332;10.742445568683152;0.6699858044805307;0.0;0.0;0.6446666666666666;64.32406515166066;12.346666666666666;12.473333333333334;8.24;28.661666666666665;40.329;35.96266666666667
2024-04-01 01:30:00;2024-04-01 01:45:00;2024-04-01 02:00:00;-2.728666666666667;0.4036666666666666;-32.08166666666667;-0.226;-0.014666666666666666;-12.753333333333332;967.486;7.686333333333334;8.673333333333334;100.0;95.42766666666667;10.727529358041942;0.5140002033102249;0.0;0.0;0.7186666666666667;75.7780222008343;12.36;12.503333333333332;8.223333333333333;28.67233333333333;40.33733333333333;35.95466666666667
2024-04-01 02:00:00;2024-04-01 02:15:00;2024-04-01 02:30:00;-3.356;0.309;-39.608666666666664;-0.10866666666666669;-0.05833333333333333;-12.193333333333333;966.9563333333334;7.811333333333333;8.754666666666667;100.0;94.68400000000001;10.702788015886474;0.6009042825868409;0.0;0.0;0.9166666666666666;82.36670147141855;12.38;12.5;8.209999999999999;28.662333333333333;40.31433333333334;35.967000000000006
2024-04-01 02:30:00;2024-04-01 02:45:00;2024-04-01 03:00:00;-2.1986666666666665;0.45933333333333337;-27.33966666666667;-0.13866666666666666;-0.041;-12.199666666666667;966.6726666666667;7.669333333333334;8.395000000000001;100.0;96.04566666666666;10.594861885097982;0.4362051612355149;0.0;0.0;0.6773333333333333;64.03401505534873;12.366666666666667;12.503333333333332;8.210333333333333;28.659000000000002;40.285333333333334;35.916333333333334
2024-04-01 03:00:00;2024-04-01 03:15:00;2024-04-01 03:30:00;-0.9703333333333334;0.439;-17.564333333333334;-0.162;0.026333333333333337;-11.081000000000001;966.5466666666667;7.892333333333333;8.667333333333334;100.0;95.69133333333332;10.752792739509609;0.48416296477877374;0.0;0.0;0.6343333333333333;293.28389761734036;12.356666666666667;12.503333333333332;8.163333333333334;28.654666666666667;40.28733333333333;35.923
2024-04-01 03:30:00;2024-04-01 03:45:00;2024-04-01 04:00:00;-1.2986666666666666;0.47433333333333333;-21.45;-0.22799999999999998;-0.13899999999999998;-8.855333333333332;966.3293333333332;8.664666666666667;9.124333333333334;100.0;94.984;11.008691770287605;0.581356838201831;0.0;0.0;1.1286666666666667;13.141227439374509;12.363333333333335;12.5;8.166333333333334;28.654666666666667;40.311;35.91
2024-04-01 04:00:00;2024-04-01 04:15:00;2024-04-01 04:30:00;-2.786;0.45566666666666666;-30.814666666666668;-0.10100000000000002;-0.042666666666666665;-7.964666666666666;965.3739999999999;8.493;9.095999999999998;100.0;94.43166666666667;10.92373940746297;0.6441379720844651;0.0;0.0;1.1360000000000001;110.88062478479432;12.333333333333334;12.503;8.146666666666667;28.645;40.28966666666667;35.91233333333333
2024-04-01 04:30:00;2024-04-01 04:45:00;2024-04-01 05:00:00;-1.8150000000000002;0.227;-21.123;-0.16866666666666666;-0.15766666666666665;-8.194666666666668;965.6823333333333;8.220666666666666;8.913;100.0;95.913;10.958609397410923;0.4669631500132265;0.0;0.0;0.7813333333333334;313.77639537121223;12.346666666666666;12.506666666666666;8.113333333333332;28.651333333333337;40.300333333333334;35.903999999999996
2024-04-01 05:00:00;2024-04-01 05:15:00;2024-04-01 05:30:00;-1.0863333333333334;0.17133333333333334;-14.806000000000003;-0.09866666666666667;-0.017;-7.687666666666666;964.945;8.403666666666666;8.951666666666666;100.0;96.13066666666667;11.012259853080813;0.4432519361652272;0.0;0.0;0.7723333333333334;73.25333951514668;12.323333333333332;12.496666666666668;8.103666666666667;28.647333333333336;40.27333333333334;35.89833333333333
